x,y,theta,dx,dy,x_d,y_d,theta_d,v,w,state_cost,min_Traj_cost,t_mppi
0.01,0.01,0.0,0.0,0.0,20.0,0.1,0.0,1.0756595,-0.04534801,999.0204999999999,3187.401,0.06130361557006836
0.11756595134735108,0.01,-0.004534801095724106,1.0756484533349326,-0.004877885221804761,20.0,0.1,-0.004534801095724106,1.1056973,-0.031380326,988.2982092475554,3126.3472,0.002768278121948242
0.22813454186889526,0.009498589997476728,-0.007672833651304245,1.10566472685478,-0.00848374801005983,20.0,0.1,-0.007672833651304245,1.1629148,-0.016332153,977.3371354991261,3075.579,0.0026073455810546875
0.34442259400396635,0.00860631360759763,-0.009306048974394798,1.162864397633541,-0.010821985440597624,20.0,0.1,-0.009306048974394798,1.1717987,-0.0031131203,965.8751899225355,3026.525,0.002822399139404297
0.46159739060839783,0.007515847732609378,-0.009617361007258296,1.1717445145128034,-0.011269437456889842,20.0,0.1,-0.009617361007258296,1.1965966,0.021140315,954.3943246127532,2978.9165,0.002879619598388672
0.5812515190193288,0.006365055303129719,-0.0075033295433968306,1.1965629384575331,-0.008978374541319814,20.0,0.1,-0.0075033295433968306,1.1921581,0.0084099565,942.7414001761438,2935.75,0.0024476051330566406
0.7004639734116612,0.005470548185180608,-0.006662333896383643,1.192131645109231,-0.007942496582229572,20.0,0.1,-0.006662333896383643,1.1968414,-0.05002902,931.2025666471039,2892.493,0.002496004104614258
0.8201454531438394,0.004673178408420841,-0.011665235972031951,1.1967599283340746,-0.013961120237485369,20.0,0.1,-0.011665235972031951,1.2,-0.014362203,919.6897691036842,2856.9502,0.0023899078369140625
0.9401372933406549,0.003273381783514768,-0.013101456267759205,1.199897060258968,-0.015721298381716632,20.0,0.1,-0.013101456267759205,1.1985953,-0.004784062,908.2193060884382,2819.2026,0.0025467872619628906
1.0599865351958153,0.001703092335834278,-0.013579862471669913,1.19848476903878,-0.01627625886632835,20.0,0.1,-0.013579862471669913,1.1984369,-0.01695317,896.8344308225503,2778.7148,0.002466440200805664
1.1798191706459067,7.568158719010337e-05,-0.015275179501622917,1.1982970426881856,-0.018305626202826653,20.0,0.1,-0.015275179501622917,1.1945028,-0.035794795,885.522978297494,2738.7185,0.0026543140411376953
1.299255518233916,-0.0017488719718107902,-0.018854658957570793,1.1942905150134855,-0.022520609098488954,20.0,0.1,-0.018854658957570793,1.2,0.023058679,874.3204925131305,2699.0972,0.0028409957885742188
1.419234193743463,-0.004011297083069792,-0.016548791062086822,1.1998357339358154,-0.019857643657376797,20.0,0.1,-0.016548791062086822,1.2,0.06993819,863.1391907421826,2661.6294,0.0024480819702148438
1.5392177671370444,-0.005997061448807472,-0.009554972033947708,1.1999452696039576,-0.011465792428149482,20.0,0.1,-0.009554972033947708,1.1885631,-0.013003597,852.0292900655608,2619.7153,0.002541065216064453
1.6580686523812853,-0.0071327128944455274,-0.010855331737548114,1.1884930800471194,-0.012901993438350827,20.0,0.1,-0.010855331737548114,1.1896514,-0.013507184,841.0948074473256,2586.005,0.0029218196868896484
1.7770267801345503,-0.0084240935591527,-0.012206050101667644,1.1895627494624372,-0.014520583655434538,20.0,0.1,-0.012206050101667644,1.2,0.05411711,830.2212718899935,2549.334,0.0026481151580810547
1.8970178457540077,-0.009888783258808669,-0.006794339139014484,1.1999723499625647,-0.008153144561463233,20.0,0.1,-0.006794339139014484,1.2,0.023292823,819.3250960540875,2512.9275,0.002807140350341797
2.017015080750264,-0.010704097714954992,-0.004465056862682105,1.199988085663442,-0.005358050644416959,20.0,0.1,-0.004465056862682105,1.1963694,0.032455094,808.5000050080359,2469.6587,0.002722024917602539
2.1366508291234996,-0.011238281684216752,-0.0012195474468171602,1.1963685198835636,-0.0014590288972124322,20.0,0.1,-0.0012195474468171602,1.2,0.09271168,797.7790438899154,2432.4312,0.0025949478149414062
2.25665074465412,-0.011384627347373508,0.00805162051692605,1.199961150736538,0.009661840609530872,20.0,0.1,0.00805162051692605,1.1990751,0.042034063,787.0971233309812,2395.6353,0.0032682418823242188
2.376554368238139,-0.010419188008889179,0.01225502686575055,1.1989850619760738,0.014694329779502918,20.0,0.1,0.01225502686575055,1.2,-0.003423387,776.4950708318669,2358.2605,0.0035262107849121094
2.496545361977922,-0.00894862153687935,0.011912688170559703,1.199914901403611,0.014294888264085566,20.0,0.1,0.011912688170559703,1.1974983,0.00952073,765.9569851685785,2322.787,0.0037300586700439453
2.6162866972542873,-0.007522112868334783,0.012864761170931159,1.1973992286683912,0.015405104971424801,20.0,0.1,0.012864761170931159,1.2,-0.056161087,755.5126229920348,2287.8618,0.002972841262817383
2.736276772034419,-0.005978384049023044,0.007248652470298109,1.19996852204292,0.008698307137062326,20.0,0.1,0.007248652470298109,1.2,-0.055857655,745.1184277742099,2242.1177,0.003920793533325195
2.8562736242387112,-0.005108553335316812,0.001662887004204092,1.199998388568119,0.001995463564696869,20.0,0.1,0.001662887004204092,1.1926628,-0.06697118,734.7960046373938,2208.6145,0.0037965774536132812
2.9755397428537074,-0.004910227073826562,-0.005034231278114023,1.1926477220369984,-0.006004115187869318,20.0,0.1,-0.005034231278114023,1.1932449,-0.025758239,724.6081330072456,2174.7505,0.003639698028564453
3.0948627242158757,-0.005510931633455291,-0.007610055129043761,1.1932103820882025,-0.009080572083121297,20.0,0.1,-0.007610055129043761,1.2,-0.009207635,714.4869971745001,2143.1177,0.00302886962890625
3.214859254224535,-0.006424129470840106,-0.008530818647705022,1.199956383026709,-0.010236858618635875,20.0,0.1,-0.008530818647705022,1.1922758,-0.010031288,704.3806898770633,2110.637,0.002740621566772461
3.334082492121153,-0.007441225965068686,-0.009533947403542702,1.192221576328307,-0.011366922207336915,20.0,0.1,-0.009533947403542702,1.1919793,-0.016958278,694.4108749911487,2076.3337,0.003715991973876953
3.4532750037510773,-0.008577635533805897,-0.011229775170795625,1.191904130871788,-0.013385378086648957,20.0,0.1,-0.011229775170795625,1.1928895,-0.08086654,684.5147430110676,2038.2711,0.0034322738647460938
3.572556427391954,-0.009917195413491077,-0.019316428969614212,1.1926669108030479,-0.02304093144968026,20.0,0.1,-0.019316428969614212,1.1939538,-0.009987441,674.6824603026724,2010.2625,0.0028257369995117188
3.6919295286707605,-0.01222334427918634,-0.020315173058770602,1.1937073848992337,-0.02425370875001251,20.0,0.1,-0.020315173058770602,1.1967708,-0.038619805,664.9143914421046,1976.7513,0.0031883716583251953
3.811581912504428,-0.014654437615340446,-0.02417715357150883,1.1964210272174658,-0.02893169232413335,20.0,0.1,-0.02417715357150883,1.2,-0.025669122,655.1950645390466,1945.2719,0.003777027130126953
3.931546846894488,-0.01755541351972598,-0.026744065782986586,1.1995709262120657,-0.03208905463934381,20.0,0.1,-0.026744065782986586,1.1949811,-0.06582723,645.5225150219857,1912.2024,0.0030531883239746094
4.051002224043071,-0.020750897872109025,-0.03332678859587759,1.1943175418758507,-0.03981751076186277,20.0,0.1,-0.03332678859587759,1.1927345,-0.05314498,635.96277709204,1879.2473,0.002873659133911133
4.170209441155141,-0.02472516307698613,-0.03864128661807627,1.191844125531674,-0.04607732618025404,20.0,0.1,-0.03864128661807627,1.2,-0.007987094,626.4945637579962,1844.7949,0.003263711929321289
4.290119868124978,-0.029360963797519107,-0.03943999602925033,1.1990668606493684,-0.04731572818195088,20.0,0.1,-0.03943999602925033,1.2,-0.057631668,617.0426700420903,1812.6351,0.004347801208496094
4.410026554189915,-0.034092536615714195,-0.045203162799589344,1.1987742608235796,-0.05422532644254305,20.0,0.1,-0.045203162799589344,1.1808537,0.045006804,607.663132123599,1783.0765,0.0052793025970458984
4.527991303727741,-0.03942855129458028,-0.040702482382766914,1.179875704012251,-0.04805040789749613,20.0,0.1,-0.040702482382766914,1.1983669,0.018118475,598.5062335461013,1751.873,0.003216981887817383
4.647728739227624,-0.04430485529575987,-0.038890634919516755,1.19746074077636,-0.04659350147169263,20.0,0.1,-0.038890634919516755,1.1972047,0.063392326,589.2826418889985,1722.2512,0.004534244537353516
4.767358684045933,-0.04895968682396228,-0.032551402295939634,1.1965704897188527,-0.03896381029568348,20.0,0.1,-0.032551402295939634,1.2,0.07969501,580.1388761220237,1690.1008,0.004425048828125
4.88729511879779,-0.052865165465935116,-0.024581901426427077,1.199637503999403,-0.02949531215299452,20.0,0.1,-0.024581901426427077,1.1921873,0.038649548,571.043041462815,1658.3486,0.0029363632202148438
5.006477831394111,-0.0557954934187955,-0.020716946641914556,1.1919314798601317,-0.024696714179894174,20.0,0.1,-0.020716946641914556,1.1915336,0.037313685,562.0749481406147,1630.9622,0.0029129981994628906
5.1256056190343084,-0.058263810576236724,-0.016985578159801673,1.1913616850594162,-0.020237913334823044,20.0,0.1,-0.016985578159801673,1.1888857,0.088856034,553.1816390856046,1598.949,0.002717733383178711
5.24447703806231,-0.060283104554249914,-0.008099974761717033,1.1888466878429984,-0.009629838771261863,20.0,0.1,-0.008099974761717033,1.2,0.031337433,544.3778713846899,1567.321,0.004060983657836914
5.364473106276579,-0.06125509093559345,-0.004966231505386542,1.1999852496403232,-0.0059594535464156445,20.0,0.1,-0.004966231505386542,1.195506,-0.01609008,535.5616266531355,1534.8599,0.004441022872924805
5.484022229681888,-0.061848804439707104,-0.00657523951958866,1.195480133652001,-0.007860681502309404,20.0,0.1,-0.00657523951958866,1.2,-0.0048621767,526.8495141596704,1508.7787,0.003943920135498047
5.604019640433018,-0.0626378275279745,-0.007061457191593956,1.1999701293002474,-0.008473678544050844,20.0,0.1,-0.007061457191593956,1.2,-0.0050987126,518.1767539399534,1478.1875,0.003835439682006836
5.7240166533630426,-0.0634851953823796,-0.007571328454650949,1.1999656528379157,-0.009085507701552777,20.0,0.1,-0.007571328454650949,1.2,-0.012232403,509.57606980641236,1449.5618,0.004609346389770508
5.844013218646834,-0.06439374615253488,-0.008794568781740975,1.1999536413169452,-0.010553346915767994,20.0,0.1,-0.008794568781740975,1.2,-0.08949067,501.047467644049,1422.0454,0.004232168197631836
5.964008582778529,-0.06544908084411168,-0.017743635480292154,1.1998111506722273,-0.021291246170802934,20.0,0.1,-0.017743635480292154,1.2,-0.032798227,492.5910711566674,1397.6816,0.004190921783447266
6.083989697845752,-0.06757820546119198,-0.021023458172567202,1.1997348659644864,-0.025226292436583954,20.0,0.1,-0.021023458172567202,1.2,-0.0272146,484.2085629615219,1365.9027,0.004230976104736328
6.2039631844422,-0.07010083470485037,-0.02374491814989598,1.199661770881922,-0.028491225410143095,20.0,0.1,-0.02374491814989598,1.1987071,-0.029665716,475.8989152754837,1339.8618,0.004481792449951172
6.323800103582689,-0.07294688744951588,-0.026711489749141053,1.1982794881879493,-0.03201544500688123,20.0,0.1,-0.026711489749141053,1.2,0.040222444,467.67088558160833,1309.4628,0.0038270950317382812
6.44375730067366,-0.07615188518543907,-0.022689245385117844,1.199691179808575,-0.02722475951095887,20.0,0.1,-0.022689245385117844,1.1981848,0.031988002,459.5068640242327,1285.5756,0.004114866256713867
6.563544945390727,-0.07887024293841237,-0.019490445149131133,1.1979572733324884,-0.02335167752703071,20.0,0.1,-0.019490445149131133,1.1525273,0.2146471,451.4257974958598,24177.96,0.004261016845703125
