scenario,controller,episode_id,seed,results_path,success,failed,final_distance,steps,arrival_time,path_length,min_obstacle_clearance,mean_terrain_risk,mean_cmd_real_error,mean_residual_norm,control_smoothness,control_jerk,mean_mppi_time_ms,max_mppi_time_ms,scenario_key,scenario_label,controller_key,controller_label,source_dir,final_distance_nominal,steps_nominal,min_obstacle_clearance_nominal,mean_terrain_risk_nominal,control_smoothness_nominal,control_jerk_nominal,mean_mppi_time_ms_nominal,delta_final_distance,delta_steps,delta_min_obstacle_clearance,delta_mean_terrain_risk,delta_control_smoothness,delta_control_jerk,delta_mean_mppi_time_ms
s5_010_id_random_default_g10_50ep,learned,0,123,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0000_learned,True,False,0.6995024681091309,211,21.1,8.530542373657227,5.436864852905273,0.24092323070902916,0.027348197996616364,0.019124995917081833,0.00131332787025372,0.0007307808388427046,54.0164669543081,410.0332260131836,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6625387668609619,102,5.438689708709717,0.31715972176053214,0.002668026162388479,0.0019204252285440456,6.822095197789809,0.036963701248168945,109,-0.0018248558044433594,-0.07623649105150299,-0.001354698292134759,-0.001189644389701341,47.194371756518294
s5_010_id_random_default_g10_50ep,learned,1,124,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0001_learned,True,False,0.6944074630737305,202,20.200000000000003,19.474437713623047,0.21701478958129883,0.37831479415326613,0.034596800804138184,0.01902857795357704,0.0036553721615909143,0.0027080953550853767,52.66183791774334,69.42033767700195,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6998726725578308,220,0.9626758098602295,0.31722931263603893,0.003095033748341958,0.0033472950895447142,5.759432099082253,-0.005465209484100342,-18,-0.7456610202789307,0.0610854815172272,0.0005603384132489564,-0.0006391997344593375,46.90240581866109
s5_010_id_random_default_g10_50ep,learned,2,125,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0002_learned,True,False,0.6961030960083008,126,12.600000000000001,10.893619537353516,2.7915501594543457,0.32907670532087135,0.035710409283638,0.02734784036874771,0.002957121439030708,0.002006716584936109,54.66302803584507,83.03499221801758,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6796021461486816,126,2.5205979347229004,0.3540279353346069,0.003441860666862325,0.0030917553812925508,6.761427909608871,0.01650094985961914,0,0.2709522247314453,-0.02495123001373556,-0.00048473922783161694,-0.0010850387963564417,47.901600126236204
s5_010_id_random_default_g10_50ep,learned,3,126,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0003_learned,True,False,0.6750353574752808,77,7.7,5.379830837249756,6.027700901031494,0.21854862032364447,0.027185827493667603,0.01258664671331644,0.002438042549258192,0.0008765280777200316,51.50964662626192,70.65582275390625,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6937746405601501,64,5.81252384185791,0.22769673573839103,0.00304981448171237,0.0015020301236217616,6.5481215715408325,-0.018739283084869385,13,0.21517705917358398,-0.009148115414746555,-0.0006117719324541782,-0.00062550204590173,44.961525054721086
s5_010_id_random_default_g10_50ep,learned,4,127,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0004_learned,True,False,0.6979771256446838,119,11.9,9.055845260620117,3.945643901824951,0.2771939980255503,0.04416550695896149,0.02964649349451065,0.002361771541376818,0.001868627350979501,53.35478422020664,73.1501579284668,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6776947379112244,117,4.196021556854248,0.3008790874514061,0.002777886835244663,0.0029316860303328636,6.024996439615886,0.020282387733459473,2,-0.2503776550292969,-0.023685089425855843,-0.0004161152938678453,-0.0010630586793533626,47.329787780590756
s5_010_id_random_default_g10_50ep,learned,5,128,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0005_learned,True,False,0.6951869130134583,123,12.3,10.965728759765625,4.3785929679870605,0.28384937342662614,0.03671686351299286,0.02459951676428318,0.0030135139325693765,0.00278649321180086,51.996475312767956,60.6534481048584,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6583350896835327,120,4.384817600250244,0.3008262631333492,0.003324284044726427,0.003122876943604391,5.88525931040446,0.03685182332992554,3,-0.006224632263183594,-0.016976889706723064,-0.0003107701121570503,-0.00033638373180353096,46.1112160023635
s5_010_id_random_default_g10_50ep,learned,6,129,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0006_learned,True,False,0.6946696043014526,402,40.2,19.651535034179688,0.2086045742034912,0.3028459837046032,0.03761014714837074,0.019972985610365868,0.0034387324590437482,0.004428694556746029,54.582317077105316,81.56585693359375,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6409841179847717,192,0.23070955276489258,0.32100483286052395,0.0037494809589165502,0.003905641857522447,6.070099771022797,0.05368548631668091,210,-0.022104978561401367,-0.018158849155920753,-0.000310748499872802,0.0005230526992235818,48.51221730608252
s5_010_id_random_default_g10_50ep,learned,7,130,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0007_learned,True,False,0.6879409551620483,108,10.8,9.189504623413086,5.1395344734191895,0.29761306635567353,0.026921890676021576,0.0195904653519392,0.0028787553941335775,0.0009638004262257163,52.70659040521692,66.20073318481445,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.695236325263977,92,5.1395344734191895,0.31628108325138504,0.003660714367497423,0.0022082307958306963,6.666719913482666,-0.007295370101928711,16,0.0,-0.018668016895711514,-0.0007819589733638454,-0.00124443036960498,46.039870491734256
s5_010_id_random_default_g10_50ep,learned,8,131,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0008_learned,True,False,0.6952607035636902,152,15.200000000000001,12.761770248413086,5.2077131271362305,0.3480892256212332,0.048232343047857285,0.03573644906282425,0.0024624335571029055,0.0018882104896565692,51.34442919179013,63.87472152709961,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6852608323097229,160,5.414905071258545,0.3894159640532052,0.0028523926144796716,0.0028056541016784286,5.34365177154541,0.009999871253967285,-8,-0.20719194412231445,-0.04132673843197204,-0.00038995905737676615,-0.0009174436120218594,46.00077742024472
s5_010_id_random_default_g10_50ep,learned,9,132,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda/runs/s5_010_id_random_default_g10_50ep_episode_0009_learned,True,False,0.6922687292098999,164,16.400000000000002,15.796527862548828,0.21802031993865967,0.3014910107707071,0.04331096634268761,0.030465038493275642,0.0033393714352623178,0.00294357821817957,54.58951432530473,87.57758140563965,id_random,ID random,default g1.0,Default learned,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,0.6810680627822876,167,0.23419654369354248,0.31889729885674434,0.0036975762794028907,0.003846463574061773,5.5283914783043775,0.011200666427612305,-3,-0.016176223754882812,-0.017406288086037225,-0.00035820484414057297,-0.000902885355882203,49.06112284700035
