scenario_name,case_name,terrain_risk_weight,metric,count,mean_delta,median_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,pct_improved,wilcoxon_p,wilcoxon_method
low_friction_patch,low_friction_patch_risk_w_0,0.0,final_distance,50,-0.0003836679458618164,-0.00023715198040008545,0.007754675478756897,-0.0024210279285907747,0.0017356686890125273,0.5,0.6947463342363385,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,steps,50,-11.7,-11.5,9.250405396521819,-14.18,-9.04,0.88,1.814797201404872e-10,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,cumulative_terrain_risk,50,-4.994666595458984,-4.912693023681641,6.1302803025942705,-6.671908287048339,-3.230293395996094,0.84,1.206143563692308e-06,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,max_terrain_risk,50,0.0051312768459320065,0.004898190498352051,0.002916275496470948,0.004377917557954788,0.005923648267984389,0.04,3.375077994860476e-14,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,terrain_risk_excess,50,-1.4513748931884765,-1.5107917785644531,3.757522389513251,-2.472368907928467,-0.35884386825561576,0.7,0.002356807144249018,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,terrain_risk_exposure_ratio,50,0.00015513592804193178,0.0003054103201834413,0.016817143513728896,-0.004672257225753847,0.004707393371096025,0.5,0.8858855663449852,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,control_smoothness,50,3.097698328979084e-05,1.8719239350363688e-05,0.00012992916575546394,-6.0430896237265204e-06,6.730030496173816e-05,0.34,0.07885790741956278,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,control_jerk,50,0.00017397708637521762,0.00015230006814599532,0.0003508299361752844,8.084859559631364e-05,0.0002696258523674516,0.34,0.0021981232450851707,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,mean_mppi_time_ms,50,22.992332100613357,22.969368838590526,0.9359135947618419,22.73681654871518,23.262767672018484,0.0,1.7763568394002505e-15,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,final_distance,50,-0.01271061658859253,0.0027570128440856934,0.06004184768635913,-0.03268369922041893,0.0022567400187253946,0.38,0.1406841997467243,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,steps,50,-17.78,-8.0,43.18994790457613,-31.7805,-7.219000000000006,0.76,3.0461023925454356e-08,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,cumulative_terrain_risk,50,-9.126318588256837,-4.732353210449219,20.315972927178642,-15.696624774932861,-4.049455045700075,0.9,3.40367733997482e-11,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,max_terrain_risk,50,-0.04589278221130371,-0.03211204707622528,0.11449221110243483,-0.08096141164004803,-0.015829034611582766,0.62,0.00594215911497642,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,terrain_risk_excess,50,-3.7317850017547607,-2.147500514984131,7.427162383679743,-6.144212174415588,-1.8800887577533727,0.9,3.6148861681795097e-12,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,terrain_risk_exposure_ratio,50,-0.020376565953060335,-0.01183416121103864,0.038290840281600756,-0.0313921467517955,-0.010501735928781245,0.74,4.348820593236269e-05,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,control_smoothness,50,0.00018813598422463143,0.00011271401410433649,0.0003407807694577081,0.00010153313310228827,0.00029360173071039583,0.22,6.354784893858323e-07,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,control_jerk,50,0.00031926736315730125,0.0003134980693782223,0.0004851001891772683,0.0001897349714280232,0.00045761999473678495,0.2,1.603124333549033e-05,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,mean_mppi_time_ms,50,21.57361423554031,21.097954599132212,1.3272280961451093,21.22593521034634,21.970983249328693,0.0,1.7763568394002505e-15,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,final_distance,50,0.0006869596242904663,0.0004751533269882202,0.008854581919568881,-0.0017019827961921692,0.003104950129985807,0.4,0.4490067617286915,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,steps,50,-7.92,-8.5,6.999542842214769,-9.94,-5.98,0.86,1.5961560961841315e-09,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,cumulative_terrain_risk,50,-2.4412027740478517,-2.487079620361328,2.139392843570398,-3.055655794143677,-1.850784284591675,0.86,1.192391962945294e-09,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,max_terrain_risk,50,0.0002882093191146851,0.000276416540145874,0.0008416676956425161,6.118835508823395e-05,0.0005148890316486358,0.4,0.02122367163684835,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,terrain_risk_excess,50,-0.06790459394454956,-0.08976435661315918,0.1644376025230916,-0.11472604477405547,-0.020260794699192078,0.66,0.004606102327862516,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,terrain_risk_exposure_ratio,50,-0.0062460994232146246,-0.0068462447668514725,0.018686977077518405,-0.011285539335450626,-0.0009649544107754052,0.72,0.013478387291879557,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,control_smoothness,50,0.0001322992318958863,0.0001201960357868658,0.00012534796439089398,9.639434121462281e-05,0.0001679664336709314,0.1,1.192391962945294e-09,scipy
