x,y,theta,dx,dy,x_d,y_d,theta_d,v,w,state_cost,min_Traj_cost,t_mppi
0.01,0.01,0.707,0.0,0.0,12.0,12.0,0.707,1.0871266,-0.0017710574,718.8004999999999,1760.235,0.057511091232299805
0.0926557541791823,0.08061493482739839,0.7068228942626156,0.8266825919291141,0.7060029491171231,12.0,12.0,0.7068228942626156,1.1408025,-0.028636616,709.6414683008545,1725.7874,0.0023169517517089844
0.17940568365103787,0.15470105523294836,0.7039592326902784,0.8696173105928253,0.7383739453211074,12.0,12.0,0.7039592326902784,1.1741045,0.008093334,700.0938927065022,1693.3041,0.0020422935485839844
0.26890597433793095,0.23069388786965928,0.7047685660705901,0.8943875784522821,0.7606524331317258,12.0,12.0,0.7047685660705901,1.1871489,0.027827764,690.3378334998822,1666.1285,0.002018451690673828
0.3593384101933183,0.3076042274413074,0.7075513424635864,0.902180617071459,0.7716169470385275,12.0,12.0,0.7075513424635864,1.1977706,0.020072384,680.5428028763724,1638.4291,0.0027649402618408203
0.4503636715511925,0.38545630378089885,0.7095585808441973,0.908688104165723,0.7803462878191916,12.0,12.0,0.7095585808441973,1.1913239,0.0058526737,670.7293114770182,1613.9943,0.0020895004272460938
0.5407434019183723,0.46307092948448975,0.7101438482110387,0.9033428958291849,0.7766750871440418,12.0,12.0,0.7101438482110387,1.1869198,0.0065969373,661.038235396958,1586.9387,0.001961946487426758
0.6307437450730148,0.5404513181335453,0.7108035419420338,0.8994927621716553,0.774397444691054,12.0,12.0,0.7108035419420338,1.2,0.010881014,651.4531094556589,1562.4591,0.0020112991333007812
0.7216842913398538,0.6187444735757558,0.71189164335886,0.908553015550923,0.78392061611763,12.0,12.0,0.71189164335886,1.1934762,-0.01759169,641.8334564549316,1540.1223,0.0019638538360595703
0.8120456544652598,0.6967103536532591,0.7101324742943979,0.9049837839945446,0.7780679860532915,12.0,12.0,0.7101324742943979,1.2,-0.0195548,632.3366981674478,1511.2346,0.0020101070404052734
0.9030387202550954,0.7749424642126442,0.7081769943521357,0.9114587304115885,0.7805402598184256,12.0,12.0,0.7081769943521357,1.193188,-0.036466267,622.8611658147354,1487.4875,0.0020411014556884766
0.9936671813130326,0.8525533973035617,0.7045303676561451,0.9091087594837481,0.7727992962776365,12.0,12.0,0.7045303676561451,1.1962925,-0.011480875,613.5123196891855,1463.4829,0.0022940635681152344
1.084814599168244,0.9300344023441807,0.7033822801248168,0.9123631274054537,0.7737630878561187,12.0,12.0,0.7033822801248168,1.1914341,0.027272096,604.2135266695352,1439.2339,0.002272367477416992
1.1756803836502174,1.0070964710198202,0.7061094897151923,0.906552824150014,0.773095918263042,12.0,12.0,0.7061094897151923,1.1877398,0.018540427,595.024557885899,1414.1343,0.001964569091796875
1.2660545700113355,1.0841663479546058,0.7079635324240661,0.9023114027014713,0.7723730197725761,12.0,12.0,0.7079635324240661,1.1891993,-0.008554319,585.9325220327531,1390.0865,0.0019421577453613281
1.3563965851371382,1.161498558127441,0.7071081005320883,0.9040813450209115,0.7725490044688523,12.0,12.0,0.7071081005320883,1.1934427,0.0064816833,576.8985178958848,1366.298,0.002141714096069336
1.4471273194814,1.2390291242412304,0.7077562688668257,0.9068046243085445,0.7758935861250581,12.0,12.0,0.7077562688668257,1.1987902,-0.014734059,567.9040400004108,1341.6348,0.0022225379943847656
