x0,y0,r0,dx0,dy0,slack0
20.0,-0.5,0.4,-1.0,0.0,1.0
19.9,-0.5,0.4,-1.0,0.0,1.0
19.799999999999997,-0.5,0.4,-1.0,0.0,1.0
19.699999999999996,-0.5,0.4,-1.0,0.0,1.0
19.599999999999994,-0.5,0.4,-1.0,0.0,1.0
19.499999999999993,-0.5,0.4,-1.0,0.0,1.0
19.39999999999999,-0.5,0.4,-1.0,0.0,1.0
19.29999999999999,-0.5,0.4,-1.0,0.0,1.0
19.19999999999999,-0.5,0.4,-1.0,0.0,1.0
19.099999999999987,-0.5,0.4,-1.0,0.0,1.0
18.999999999999986,-0.5,0.4,-1.0,0.0,1.0
18.899999999999984,-0.5,0.4,-1.0,0.0,1.0
18.799999999999983,-0.5,0.4,-1.0,0.0,1.0
18.69999999999998,-0.5,0.4,-1.0,0.0,1.0
18.59999999999998,-0.5,0.4,-1.0,0.0,1.0
18.49999999999998,-0.5,0.4,-1.0,0.0,1.0
18.399999999999977,-0.5,0.4,-1.0,0.0,1.0
18.299999999999976,-0.5,0.4,-1.0,0.0,1.0
18.199999999999974,-0.5,0.4,-1.0,0.0,1.0
18.099999999999973,-0.5,0.4,-1.0,0.0,1.0
17.99999999999997,-0.5,0.4,-1.0,0.0,1.0
17.89999999999997,-0.5,0.4,-1.0,0.0,1.0
17.79999999999997,-0.5,0.4,-1.0,0.0,1.0
17.699999999999967,-0.5,0.4,-1.0,0.0,1.0
17.599999999999966,-0.5,0.4,-1.0,0.0,1.0
17.499999999999964,-0.5,0.4,-1.0,0.0,1.0
17.399999999999963,-0.5,0.4,-1.0,0.0,1.0
17.29999999999996,-0.5,0.4,-1.0,0.0,1.0
17.19999999999996,-0.5,0.4,-1.0,0.0,1.0
17.09999999999996,-0.5,0.4,-1.0,0.0,1.0
16.999999999999957,-0.5,0.4,-1.0,0.0,1.0
16.899999999999956,-0.5,0.4,-1.0,0.0,1.0
16.799999999999955,-0.5,0.4,-1.0,0.0,1.0
16.699999999999953,-0.5,0.4,-1.0,0.0,1.0
16.59999999999995,-0.5,0.4,-1.0,0.0,1.0
16.49999999999995,-0.5,0.4,-1.0,0.0,1.0
16.39999999999995,-0.5,0.4,-1.0,0.0,1.0
16.299999999999947,-0.5,0.4,-1.0,0.0,1.0
