x0,y0,r0,dx0,dy0,slack0
10.0,10.0,0.4,0.02,-1.0,1.0
10.002,9.9,0.4,0.02,-1.0,1.0
10.004000000000001,9.8,0.4,0.02,-1.0,1.0
10.006000000000002,9.700000000000001,0.4,0.02,-1.0,1.0
10.008000000000003,9.600000000000001,0.4,0.02,-1.0,1.0
10.010000000000003,9.500000000000002,0.4,0.02,-1.0,1.0
10.012000000000004,9.400000000000002,0.4,0.02,-1.0,1.0
10.014000000000005,9.300000000000002,0.4,0.02,-1.0,1.0
10.016000000000005,9.200000000000003,0.4,0.02,-1.0,1.0
10.018000000000006,9.100000000000003,0.4,0.02,-1.0,1.0
10.020000000000007,9.000000000000004,0.4,0.02,-1.0,1.0
10.022000000000007,8.900000000000004,0.4,0.02,-1.0,1.0
10.024000000000008,8.800000000000004,0.4,0.02,-1.0,1.0
10.026000000000009,8.700000000000005,0.4,0.02,-1.0,1.0
10.02800000000001,8.600000000000005,0.4,0.02,-1.0,1.0
10.03000000000001,8.500000000000005,0.4,0.02,-1.0,1.0
10.03200000000001,8.400000000000006,0.4,0.02,-1.0,1.0
10.034000000000011,8.300000000000006,0.4,0.02,-1.0,1.0
10.036000000000012,8.200000000000006,0.4,0.02,-1.0,1.0
10.038000000000013,8.100000000000007,0.4,0.02,-1.0,1.0
10.040000000000013,8.000000000000007,0.4,0.02,-1.0,1.0
10.042000000000014,7.9000000000000075,0.4,0.02,-1.0,1.0
10.044000000000015,7.800000000000008,0.4,0.02,-1.0,1.0
10.046000000000015,7.700000000000008,0.4,0.02,-1.0,1.0
10.048000000000016,7.6000000000000085,0.4,0.02,-1.0,1.0
10.050000000000017,7.500000000000009,0.4,0.02,-1.0,1.0
10.052000000000017,7.400000000000009,0.4,0.02,-1.0,1.0
10.054000000000018,7.30000000000001,0.4,0.02,-1.0,0.99650955
10.056000000000019,7.20000000000001,0.4,0.02,-1.0,0.99924755
10.05800000000002,7.10000000000001,0.4,0.02,-1.0,1.0
10.06000000000002,7.000000000000011,0.4,0.02,-1.0,1.0
10.06200000000002,6.900000000000011,0.4,0.02,-1.0,1.0
10.064000000000021,6.800000000000011,0.4,0.02,-1.0,0.9968997
10.066000000000022,6.700000000000012,0.4,0.02,-1.0,0.9932739
10.068000000000023,6.600000000000012,0.4,0.02,-1.0,0.9945828
10.070000000000023,6.500000000000012,0.4,0.02,-1.0,0.9825852
10.072000000000024,6.400000000000013,0.4,0.02,-1.0,0.9780631
10.074000000000025,6.300000000000013,0.4,0.02,-1.0,0.9812592
10.076000000000025,6.2000000000000135,0.4,0.02,-1.0,0.9820756
10.078000000000026,6.100000000000014,0.4,0.02,-1.0,0.9810384
10.080000000000027,6.000000000000014,0.4,0.02,-1.0,0.966398
10.082000000000027,5.900000000000015,0.4,0.02,-1.0,0.96684325
10.084000000000028,5.800000000000015,0.4,0.02,-1.0,0.96748495
10.086000000000029,5.700000000000015,0.4,0.02,-1.0,0.9664588
10.08800000000003,5.600000000000016,0.4,0.02,-1.0,0.9697615
10.09000000000003,5.500000000000016,0.4,0.02,-1.0,0.971632
10.09200000000003,5.400000000000016,0.4,0.02,-1.0,0.96792525
10.094000000000031,5.300000000000017,0.4,0.02,-1.0,0.9684408
10.096000000000032,5.200000000000017,0.4,0.02,-1.0,0.9714581
10.098000000000033,5.100000000000017,0.4,0.02,-1.0,0.9738963
10.100000000000033,5.000000000000018,0.4,0.02,-1.0,1.0
10.102000000000034,4.900000000000018,0.4,0.02,-1.0,0.999113
10.104000000000035,4.8000000000000185,0.4,0.02,-1.0,0.9970508
10.106000000000035,4.700000000000019,0.4,0.02,-1.0,0.99858046
10.108000000000036,4.600000000000019,0.4,0.02,-1.0,0.99759215
