setting,test_mse,test_mse_std,zero_residual_test_mse,test_mse_reduction_pct,test_improvement_x,learned_ade,nominal_ade,learned_fde,nominal_fde
ID mean seeds 123/456/789,1.0148782469817283e-05,2.1833955071817022e-07,0.0006288914009928703,98.3862424492059,61.99551928990127,0.04843650385737419,0.5212535262107849,0.08230284601449966,0.9190490245819092
OOD obstacle,9.93157664197497e-06,,0.000568110088352114,98.2518218131308,57.202406912014816,0.020704902708530426,0.22822964191436768,0.046311039477586746,0.32846060395240784
OOD terrain,1.0731993825174868e-05,,0.0006400654674507678,98.32329747956598,59.640871759478344,0.024650704115629196,0.26478996872901917,0.05385246500372887,0.39450472593307495
