scenario_key,controller_label,episode_id,delta_final_distance,delta_steps,delta_mean_terrain_risk,delta_control_smoothness,delta_control_jerk,delta_min_obstacle_clearance
id_random,Default learned,0,0.0369637012481689,109,-0.0762364910515029,-0.0013546982921347,-0.0011896443897013,-0.0018248558044433
id_random,Default learned,1,-0.0054652094841003,-18,0.0610854815172272,0.0005603384132489,-0.0006391997344593,-0.7456610202789307
id_random,Default learned,2,0.0165009498596191,0,-0.0249512300137355,-0.0004847392278316,-0.0010850387963564,0.2709522247314453
id_random,Default learned,3,-0.0187392830848693,13,-0.0091481154147465,-0.0006117719324541,-0.0006255020459017,0.2151770591735839
id_random,Default learned,4,0.0202823877334594,2,-0.0236850894258558,-0.0004161152938678,-0.0010630586793533,-0.2503776550292969
id_random,Default learned,5,0.0368518233299255,3,-0.016976889706723,-0.000310770112157,-0.0003363837318035,-0.0062246322631835
id_random,Default learned,6,0.0536854863166809,210,-0.0181588491559207,-0.0003107484998728,0.0005230526992235,-0.0221049785614013
id_random,Default learned,7,-0.0072953701019287,16,-0.0186680168957115,-0.0007819589733638,-0.0012444303696049,0.0
id_random,Default learned,8,0.0099998712539672,-8,-0.041326738431972,-0.0003899590573767,-0.0009174436120218,-0.2071919441223144
id_random,Default learned,9,0.0112006664276123,-3,-0.0174062880860372,-0.0003582048441405,-0.0009028853558822,-0.0161762237548828
id_random,Default learned,10,0.0232730507850646,12,-0.017710134550356,-0.0005584169841545,-0.0010187308873579,-0.250342845916748
id_random,Default learned,11,0.0094451308250427,4,-0.0015129160346498,-0.0001790988541466,-0.0007733300581873,0.0
id_random,Default learned,12,0.0027849078178405,-8,-0.0221072913780052,-0.0005774494651334,-0.001062778455259,0.1143808364868164
id_random,Default learned,13,0.0073622465133666,22,-0.0315437308459713,-0.0007760884042671,-0.0009358551001906,0.0
id_random,Default learned,14,0.0254943966865539,7,-0.0083256946032977,-0.0002942945704773,-0.0014979530152474,0.1406035423278808
id_random,Default learned,15,-0.011935532093048,-2,-0.003323960594358,-0.0003049245130092,-0.0011792244878851,0.0726070404052734
id_random,Default learned,16,0.0145062804222106,32,-0.043279595173521,-0.0005742677652114,-0.0003896270888984,-0.4592428207397461
id_random,Default learned,17,0.0038667321205139,-17,0.0055357509519128,-0.0001955069328916,-0.0006381073323589,0.0214289426803588
id_random,Default learned,18,0.0196345448493957,-9,-0.0065665562651544,0.000119454950094,-0.000419475962877,0.0
id_random,Default learned,19,0.0215147733688354,9,-0.0137992426445477,-0.0002872530076248,-0.0008828977055311,0.39169842004776
id_random,Default learned,20,-0.0072141885757446,-14,-0.0201823840577787,-0.0003917588533024,-0.0007882357265538,-0.1550960540771484
id_random,Default learned,21,-0.0083468556404113,12,-0.0254780185752719,-0.00029614339264,-0.0007823058471847,-0.0634980201721191
id_random,Default learned,22,-0.0021923780441284,5,0.0019095257739854,-0.0002438578370323,-0.0013300552855842,-0.0828049182891845
id_random,Default learned,23,0.0230332612991333,-6,-0.0212272509759252,-1.7031654472483837e-06,-0.0009280383148808,0.7046605348587036
id_random,Default learned,24,0.0070608258247375,5,0.0012440133932015,-0.0001132106442075,-0.0004904775652792,0.3815134167671203
id_random,Default learned,25,0.0057194828987121,-11,-0.0024762922066881,-7.33155099150516e-05,-0.0014931522150838,-0.0009793043136596
id_random,Default learned,26,0.0018705129623413,10,0.0037061702610119,-8.191806172108164e-05,-0.0008885390433854,0.0
id_random,Default learned,27,0.0271544456481933,-2,-0.0252329556891678,-0.0004200479581672,-4.1610330017097935e-05,0.7320739030838013
id_random,Default learned,28,-0.0180832743644714,15,-0.008972959980499,-0.0002370519136505,-0.0009700418857758,0.275285005569458
id_random,Default learned,29,-0.0123470425605773,7,-0.0033028648621142,-0.0002881121673458,-0.0002260534585331,-0.3599505424499511
id_random,Default learned,30,0.0044822096824646,11,-0.0153314468511351,2.506430638822988e-05,-0.0004353610068895,0.0
id_random,Default learned,31,0.0504146218299865,274,-0.1449357905368386,-0.0025305311583873,-0.0014245464562797,-0.9352765083312988
id_random,Default learned,32,0.0289901494979858,1,-0.0208638508539166,3.49140433441664e-06,-0.000837347548191,-0.2228102684020996
id_random,Default learned,33,0.0127044320106506,18,-0.0183251596281147,-0.0007862070191213,-0.000426425393255,0.0
id_random,Default learned,34,0.0157080292701721,178,-0.1548339666565532,-0.001968244279625,-0.001774251804046,0.4400248527526855
id_random,Default learned,35,0.0008502602577209,-3,0.0068499225573032,-0.0002495204010783,-0.0010496934625829,0.0
id_random,Default learned,36,0.0016546249389648,25,-0.0142816631697065,-7.750339667838939e-05,-0.0005541637397673,-0.0736961364746093
id_random,Default learned,37,-0.0015740990638732,1,-0.0220759503233196,-0.0004057357298916,-0.0008511612185671,0.4154071807861328
id_random,Default learned,38,0.000259518623352,131,-0.0961574096616102,-0.001403700257726,-0.0006798096953709,-0.4327292442321777
id_random,Default learned,39,-0.0059060454368591,-16,-0.0062350883555947,-0.0001811350402592,-0.000200966984174,0.3313930034637451
id_random,Default learned,40,0.0061737298965454,-4,-0.013124062228479,-1.369698064768686e-05,-0.0003813191613099,0.3379616737365722
id_random,Default learned,41,0.0168673992156982,-1,-0.0222038228677204,-0.0004483734825267,-0.0008289437921985,0.1336078643798828
id_random,Default learned,42,0.0178995132446289,3,-0.0028934472740536,-2.1511776930849616e-05,-0.0007026484543785,-0.0561051368713378
id_random,Default learned,43,0.0119999647140502,45,-0.0366889320650847,-0.0005110272557725,-0.0008693286690621,0.3161191940307617
id_random,Default learned,44,0.009271502494812,8,0.0068832349096428,-0.0002465832543336,-0.0007393568194245,0.3630151748657226
id_random,Default learned,45,0.0167820453643798,16,-0.0106929920822777,-0.0002727060937324,-0.0001261866991003,-0.2341713905334472
id_random,Default learned,46,0.0155779123306274,8,0.0117227879332183,-7.118671997637929e-05,-0.0012548366428601,0.151059865951538
id_random,Default learned,47,0.0232548713684082,3,-0.0131990994076915,-0.0002460951202604,-0.0010345817916208,-0.6282534599304199
id_random,Default learned,48,-0.0003411173820495,14,-0.0246803769755391,-0.0001152807035105,-0.0013897868998738,0.0079913139343261
id_random,Default learned,49,-0.0088967680931091,9,-0.0114066886427108,-8.099234650971003e-05,-0.0010029475350183,-0.2212181091308593
id_random,Efficiency,0,0.0180202722549438,-2,0.0067890926632226,0.0001934206461634,0.0003235692948139,0.0
id_random,Efficiency,1,-0.0035513043403625,-41,0.0673451544169063,0.0010594561450958,0.0004593519495381,-0.4003870487213135
id_random,Efficiency,2,-0.0138092637062072,-10,-0.0122122009087581,0.0002407820990613,-0.000383862724831,0.3258676528930664
id_random,Efficiency,3,-0.0152139663696289,5,-0.0023307944692229,0.0001068588430483,0.0006151347528453,0.1602182388305664
id_random,Efficiency,4,-0.0117532014846801,-7,-0.0020031311351657,0.0003908318965214,3.063372732609298e-06,-0.0010786056518554
id_random,Efficiency,5,0.0378032922744751,-3,-0.0031498585736718,0.0001488420205465,-0.0001627057022911,0.1119322776794433
id_random,Efficiency,6,0.0395993590354919,8,-0.0087184361439744,0.000102699424474,-0.0004259060105424,-0.0130383968353271
id_random,Efficiency,7,-0.0081697702407836,2,-0.0027173945041618,-3.152314803093505e-05,2.4949123650949093e-05,0.0
id_random,Efficiency,8,0.001918077468872,-17,-0.0266673378618612,0.0002347918928663,-6.759307041020882e-05,-0.1314520835876464
id_random,Efficiency,9,-0.0302760004997253,-4,0.0006310225767081,-0.000172074338748,-0.0009058186756114,-0.0158038139343261
id_random,Efficiency,10,0.0296531319618225,2,-0.0068128816765211,-0.0003288788190655,-0.0007678695516258,-0.1067113876342773
id_random,Efficiency,11,-0.0172463059425354,-8,0.0081239891389346,0.000384296674426,0.0007834272710114,0.0
id_random,Efficiency,12,-0.0388532280921936,-23,-0.048457159011972,-0.0002492396566588,4.687748387930367e-06,0.096726655960083
id_random,Efficiency,13,0.0052112936973571,-4,0.0088657564659166,0.0002681860191897,-0.0001178020724723,-0.0049943923950195
id_random,Efficiency,14,0.0071275830268859,-4,0.0036889127708559,0.0001579153490312,-0.0004091998318109,0.1403069496154785
id_random,Efficiency,15,-0.0142595767974853,-8,-0.0039882509114839,0.0001814690074007,-0.0004472202155821,-0.0782995223999023
id_random,Efficiency,16,-0.0276474952697753,-4,0.0088604252117546,0.0007114691248977,0.0008396807193079,-0.0037188529968261
id_random,Efficiency,17,-0.0274378061294555,-21,0.0158917804902574,0.0002758598669042,0.000388989878927,0.0273491144180297
