scenario_name,case_name,terrain_risk_weight,metric,count,mean_delta,median_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,pct_improved,wilcoxon_p,wilcoxon_method
low_friction_patch,low_friction_patch_risk_w_0,0.0,final_distance,50,-0.0003836679458618,-0.0002371519804,0.0077546754787568,-0.0024210279285907,0.0017356686890125,0.5,0.6947463342363385,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,steps,50,-11.7,-11.5,9.25040539652182,-14.18,-9.04,0.88,1.814797201404872e-10,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,cumulative_terrain_risk,50,-4.994666595458984,-4.912693023681641,6.130280302594271,-6.671908287048339,-3.230293395996094,0.84,1.206143563692308e-06,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,max_terrain_risk,50,0.005131276845932,0.004898190498352,0.0029162754964709,0.0043779175579547,0.0059236482679843,0.04,3.3750779948604765e-14,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,terrain_risk_excess,50,-1.4513748931884765,-1.5107917785644531,3.757522389513251,-2.472368907928467,-0.3588438682556157,0.7,0.002356807144249,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,terrain_risk_exposure_ratio,50,0.0001551359280419,0.0003054103201834,0.0168171435137288,-0.0046722572257538,0.004707393371096,0.5,0.8858855663449852,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,control_smoothness,50,3.097698328979084e-05,1.8719239350363688e-05,0.0001299291657554,-6.04308962372652e-06,6.730030496173816e-05,0.34,0.0788579074195627,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,control_jerk,50,0.0001739770863752,0.0001523000681459,0.0003508299361752,8.084859559631364e-05,0.0002696258523674,0.34,0.0021981232450851,scipy
low_friction_patch,low_friction_patch_risk_w_0,0.0,mean_mppi_time_ms,50,22.99233210061336,22.96936883859053,0.935913594761842,22.73681654871518,23.262767672018484,0.0,1.7763568394002505e-15,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,final_distance,50,-0.0127106165885925,0.0027570128440856,0.0600418476863591,-0.0326836992204189,0.0022567400187253,0.38,0.1406841997467243,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,steps,50,-17.78,-8.0,43.18994790457613,-31.7805,-7.219000000000006,0.76,3.046102392545436e-08,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,cumulative_terrain_risk,50,-9.126318588256837,-4.732353210449219,20.31597292717864,-15.69662477493286,-4.049455045700075,0.9,3.40367733997482e-11,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,max_terrain_risk,50,-0.0458927822113037,-0.0321120470762252,0.1144922111024348,-0.080961411640048,-0.0158290346115827,0.62,0.0059421591149764,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,terrain_risk_excess,50,-3.7317850017547607,-2.147500514984131,7.427162383679743,-6.144212174415588,-1.8800887577533727,0.9,3.6148861681795097e-12,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,terrain_risk_exposure_ratio,50,-0.0203765659530603,-0.0118341612110386,0.0382908402816007,-0.0313921467517955,-0.0105017359287812,0.74,4.348820593236269e-05,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,control_smoothness,50,0.0001881359842246,0.0001127140141043,0.0003407807694577,0.0001015331331022,0.0002936017307103,0.22,6.354784893858323e-07,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,control_jerk,50,0.0003192673631573,0.0003134980693782,0.0004851001891772,0.000189734971428,0.0004576199947367,0.2,1.603124333549033e-05,scipy
low_friction_patch,low_friction_patch_risk_w_10,10.0,mean_mppi_time_ms,50,21.57361423554031,21.09795459913221,1.3272280961451093,21.22593521034634,21.970983249328693,0.0,1.7763568394002505e-15,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,final_distance,50,0.0006869596242904,0.0004751533269882,0.0088545819195688,-0.0017019827961921,0.0031049501299858,0.4,0.4490067617286915,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,steps,50,-7.92,-8.5,6.999542842214769,-9.94,-5.98,0.86,1.5961560961841315e-09,scipy
safe_corridor,safe_corridor_risk_w_0,0.0,cumulative_terrain_risk,50,-2.441202774047852,-2.487079620361328,2.139392843570398,-3.055655794143677,-1.850784284591675,0.86,1.192391962945294e-09,scipy
