scenario,controller,source_dir,run_count,failed_count,success_rate,final_distance_mean,steps_mean,min_obstacle_clearance_mean,mean_terrain_risk_mean,control_smoothness_mean,control_jerk_mean,mean_mppi_time_ms_mean,success_rate_delta,final_distance_delta,steps_delta,min_obstacle_clearance_delta,mean_terrain_risk_delta,control_smoothness_delta,control_jerk_delta,mean_mppi_time_ms_delta,scenario_label,controller_label
id_random,nominal,results/stage5_d/s5_010_parallel/id_random_nominal_50ep_seed123_cuda,50,0,1.0,0.680758672952652,132.7,3.4794380271434786,0.3403771798238913,0.003191868180486414,0.002734743500673856,6.428392087976066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID
random",Nominal
id_random,default g1.0,results/stage5_d/s5_010_parallel/id_random_default_g10_50ep_seed123_cuda,50,0,1.0,0.690813854932785,155.02,3.4872625267505644,0.3197653314858442,0.002795166816957456,0.0019191297495557832,57.691411599873774,0.0,0.010055181980132999,22.32000000000002,0.007824499607085755,-0.020611848338047134,-0.000396701363528958,-0.0008156137511180729,51.26301951189771,"ID
random",Default
id_random,current 0.5/3.5/1.0,results/stage5_d/s5_010_parallel/id_random_current_efficiency_g05_goal35_smooth10_50ep_seed123_cuda,50,0,1.0,0.6785126805305481,125.82,3.5157334136962892,0.34244845813809555,0.00340487216043619,0.002854508661637006,60.98681251492429,0.0,-0.002245992422103882,-6.8799999999999955,0.036295386552810616,0.002071278314204228,0.00021300397994977608,0.0001197651609631499,54.558420426948224,"ID
random",Efficiency
id_random,balanced 0.5/3.0/0.75,results/stage5_d/s5_010_parallel/id_random_balanced_g05_goal30_smooth075_50ep_seed123_cuda,50,0,1.0,0.6798632788658142,129.62,3.5077545940876007,0.34031949284425594,0.0033164491289011944,0.00283783675897904,58.518845074133225,0.0,-0.0008953940868378085,-3.079999999999984,0.0283165669441221,-5.768697963537406e-05,0.0001245809484147803,0.00010309325830518395,52.09045298615716,"ID
random",Balanced
ood_obstacle,nominal,results/stage5_d/s5_010_parallel/ood_obstacle_nominal_50ep_seed123_cuda,50,0,1.0,0.6784343898296357,134.76,2.847046949863434,0.33884089513768395,0.003191210587354889,0.0027542776780231258,6.065022190112854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"OOD
obstacle",Nominal
ood_obstacle,default g1.0,results/stage5_d/s5_010_parallel/ood_obstacle_default_g10_50ep_seed123_cuda,50,0,1.0,0.6889778196811676,165.6,2.8710121190547944,0.3197542803902647,0.00279849776270356,0.002034047656076409,53.89296632481074,0.0,0.010543429851531894,30.840000000000003,0.02396516919136049,-0.01908661474741924,-0.0003927128246513289,-0.0007202300219467167,47.82794413469789,"OOD
obstacle",Default
ood_obstacle,current 0.5/3.5/1.0,results/stage5_d/s5_010_parallel/ood_obstacle_current_efficiency_g05_goal35_smooth10_50ep_seed123_cuda,50,0,1.0,0.6777662503719329,127.1,2.9019106578826905,0.3419003604046105,0.0034248057255691143,0.002815065342514518,52.855774066776895,0.0,-0.0006681394577027211,-7.659999999999997,0.05486370801925666,0.0030594652669265754,0.0002335951382142253,6.078766449139211e-05,46.79075187666404,"OOD
obstacle",Efficiency
ood_obstacle,balanced 0.5/3.0/0.75,results/stage5_d/s5_010_parallel/ood_obstacle_balanced_g05_goal30_smooth075_50ep_seed123_cuda,50,0,1.0,0.6811716496944428,130.74,2.905624022483826,0.33978815933736406,0.0032965367415925934,0.0028375143838608886,52.36107711704331,0.0,0.0027372598648071067,-4.019999999999982,0.05857707262039202,0.000947264199680109,0.00010532615423770441,8.323670583776279e-05,46.29605492693045,"OOD
obstacle",Balanced
ood_terrain,nominal,results/stage5_d/s5_010_parallel/ood_terrain_nominal_50ep_seed123_cuda,50,0,1.0,0.6852069461345672,133.96,3.4963773238658904,0.37600641617771674,0.0031241197248308146,0.0026399316411814984,5.791610524661037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"OOD
terrain",Nominal
ood_terrain,default g1.0,results/stage5_d/s5_010_parallel/ood_terrain_default_g10_50ep_seed123_cuda,50,0,1.0,0.6885585463047028,154.08,3.4683585560321806,0.35033633739389686,0.002687607931678619,0.00174416155803372,53.43741166510656,0.0,0.0033516001701355824,20.120000000000005,-0.028018767833709823,-0.025670078783819883,-0.0004365117931521955,-0.0008957700831477783,47.64580114044552,"OOD
terrain",Default
ood_terrain,current 0.5/3.5/1.0,results/stage5_d/s5_010_parallel/ood_terrain_current_efficiency_g05_goal35_smooth10_50ep_seed123_cuda,50,0,1.0,0.6784694445133209,127.04,3.519602702856064,0.37827657487690153,0.0034043621572060236,0.002780772622500842,53.403382891559566,0.0,-0.006737501621246311,-6.920000000000002,0.023225378990173517,0.0022701586991847877,0.000280242432375209,0.00014084098131934364,47.61177236689853,"OOD
terrain",Efficiency
ood_terrain,balanced 0.5/3.0/0.75,results/stage5_d/s5_010_parallel/ood_terrain_balanced_g05_goal30_smooth075_50ep_seed123_cuda,50,0,1.0,0.6835068511962891,131.46,3.4890422081947325,0.3750447016777049,0.0032131516509516034,0.0027535324022298696,52.69838994195092,0.0,-0.0017000949382781627,-2.5,-0.007335115671157855,-0.0009617145000118676,8.903192612078883e-05,0.00011360076104837118,46.90677941728988,"OOD
terrain",Balanced
