x0,y0,r0,dx0,dy0
10.0,10.0,0.4,0.0,-1.0
10.0,9.9,0.4,0.0,-1.0
10.0,9.8,0.4,0.0,-1.0
10.0,9.700000000000001,0.4,0.0,-1.0
10.0,9.600000000000001,0.4,0.0,-1.0
10.0,9.500000000000002,0.4,0.0,-1.0
10.0,9.400000000000002,0.4,0.0,-1.0
10.0,9.300000000000002,0.4,0.0,-1.0
10.0,9.200000000000003,0.4,0.0,-1.0
10.0,9.100000000000003,0.4,0.0,-1.0
10.0,9.000000000000004,0.4,0.0,-1.0
10.0,8.900000000000004,0.4,0.0,-1.0
10.0,8.800000000000004,0.4,0.0,-1.0
10.0,8.700000000000005,0.4,0.0,-1.0
10.0,8.600000000000005,0.4,0.0,-1.0
10.0,8.500000000000005,0.4,0.0,-1.0
10.0,8.400000000000006,0.4,0.0,-1.0
10.0,8.300000000000006,0.4,0.0,-1.0
10.0,8.200000000000006,0.4,0.0,-1.0
10.0,8.100000000000007,0.4,0.0,-1.0
10.0,8.000000000000007,0.4,0.0,-1.0
10.0,7.9000000000000075,0.4,0.0,-1.0
10.0,7.800000000000008,0.4,0.0,-1.0
10.0,7.700000000000008,0.4,0.0,-1.0
10.0,7.6000000000000085,0.4,0.0,-1.0
10.0,7.500000000000009,0.4,0.0,-1.0
10.0,7.400000000000009,0.4,0.0,-1.0
10.0,7.30000000000001,0.4,0.0,-1.0
10.0,7.20000000000001,0.4,0.0,-1.0
10.0,7.10000000000001,0.4,0.0,-1.0
10.0,7.000000000000011,0.4,0.0,-1.0
10.0,6.900000000000011,0.4,0.0,-1.0
10.0,6.800000000000011,0.4,0.0,-1.0
10.0,6.700000000000012,0.4,0.0,-1.0
10.0,6.600000000000012,0.4,0.0,-1.0
10.0,6.500000000000012,0.4,0.0,-1.0
10.0,6.400000000000013,0.4,0.0,-1.0
10.0,6.300000000000013,0.4,0.0,-1.0
10.0,6.2000000000000135,0.4,0.0,-1.0
10.0,6.100000000000014,0.4,0.0,-1.0
10.0,6.000000000000014,0.4,0.0,-1.0
10.0,5.900000000000015,0.4,0.0,-1.0
10.0,5.800000000000015,0.4,0.0,-1.0
10.0,5.700000000000015,0.4,0.0,-1.0
10.0,5.600000000000016,0.4,0.0,-1.0
10.0,5.500000000000016,0.4,0.0,-1.0
10.0,5.400000000000016,0.4,0.0,-1.0
10.0,5.300000000000017,0.4,0.0,-1.0
10.0,5.200000000000017,0.4,0.0,-1.0
10.0,5.100000000000017,0.4,0.0,-1.0
10.0,5.000000000000018,0.4,0.0,-1.0
10.0,4.900000000000018,0.4,0.0,-1.0
10.0,4.8000000000000185,0.4,0.0,-1.0
10.0,4.700000000000019,0.4,0.0,-1.0
10.0,4.600000000000019,0.4,0.0,-1.0
10.0,4.5000000000000195,0.4,0.0,-1.0
10.0,4.40000000000002,0.4,0.0,-1.0
10.0,4.30000000000002,0.4,0.0,-1.0
10.0,4.200000000000021,0.4,0.0,-1.0
10.0,4.100000000000021,0.4,0.0,-1.0
10.0,4.000000000000021,0.4,0.0,-1.0
10.0,3.9000000000000212,0.4,0.0,-1.0
10.0,3.800000000000021,0.4,0.0,-1.0
10.0,3.700000000000021,0.4,0.0,-1.0
10.0,3.600000000000021,0.4,0.0,-1.0
10.0,3.500000000000021,0.4,0.0,-1.0
10.0,3.400000000000021,0.4,0.0,-1.0
10.0,3.3000000000000207,0.4,0.0,-1.0
10.0,3.2000000000000206,0.4,0.0,-1.0
10.0,3.1000000000000205,0.4,0.0,-1.0
10.0,3.0000000000000204,0.4,0.0,-1.0
10.0,2.9000000000000203,0.4,0.0,-1.0
10.0,2.8000000000000203,0.4,0.0,-1.0
10.0,2.70000000000002,0.4,0.0,-1.0
10.0,2.60000000000002,0.4,0.0,-1.0
10.0,2.50000000000002,0.4,0.0,-1.0
10.0,2.40000000000002,0.4,0.0,-1.0
10.0,2.30000000000002,0.4,0.0,-1.0
10.0,2.2000000000000197,0.4,0.0,-1.0
10.0,2.1000000000000196,0.4,0.0,-1.0
10.0,2.0000000000000195,0.4,0.0,-1.0
10.0,1.9000000000000195,0.4,0.0,-1.0
10.0,1.8000000000000194,0.4,0.0,-1.0
10.0,1.7000000000000193,0.4,0.0,-1.0
10.0,1.6000000000000192,0.4,0.0,-1.0
10.0,1.500000000000019,0.4,0.0,-1.0
10.0,1.400000000000019,0.4,0.0,-1.0
10.0,1.300000000000019,0.4,0.0,-1.0
10.0,1.2000000000000188,0.4,0.0,-1.0
10.0,1.1000000000000187,0.4,0.0,-1.0
10.0,1.0000000000000187,0.4,0.0,-1.0
10.0,0.9000000000000187,0.4,0.0,-1.0
10.0,0.8000000000000187,0.4,0.0,-1.0
10.0,0.7000000000000187,0.4,0.0,-1.0
10.0,0.6000000000000187,0.4,0.0,-1.0
10.0,0.5000000000000188,0.4,0.0,-1.0
10.0,0.4000000000000188,0.4,0.0,-1.0
10.0,0.3000000000000188,0.4,0.0,-1.0
10.0,0.2000000000000188,0.4,0.0,-1.0
10.0,0.1000000000000188,0.4,0.0,-1.0
10.0,1.8790524691780774e-14,0.4,0.0,-1.0
10.0,-0.09999999999998122,0.4,0.0,-1.0
10.0,-0.19999999999998122,0.4,0.0,-1.0
10.0,-0.2999999999999812,0.4,0.0,-1.0
10.0,-0.39999999999998126,0.4,0.0,-1.0
