x,y,theta,dx,dy,x_d,y_d,theta_d,v,w,state_cost,min_Traj_cost,t_mppi
0.01,0.01,0.0,0.0,0.0,20.0,0.1,0.0,1.0,0.0,999.0204999999999,3239.3667,0.059870004653930664
0.11,0.01,0.0,1.0,0.0,20.0,0.1,0.0,1.0,0.0,989.0505,3204.1958,0.00252532958984375
0.21000000000000002,0.01,0.0,1.0,0.0,20.0,0.1,0.0,1.0066173,0.0,979.1305,3171.1543,0.0024149417877197266
0.31066173076629644,0.01,0.0,1.0066173076629639,0.0,20.0,0.1,0.0,1.0124525,0.0,969.1953537007772,3138.7056,0.002362966537475586
0.41190697908401497,0.01,0.0,1.012452483177185,0.0,20.0,0.1,0.0,1.0172658,0.0,959.2537204901437,3107.2095,0.002898693084716797
0.5136335587501527,0.01,0.0,1.017265796661377,0.0,20.0,0.1,0.0,1.0201175,-1.75e-43,949.3164427066705,3076.634,0.002680540084838867
0.6156453108787538,0.01,-1.7516230804060213e-44,1.0201175212860107,-1.7868613950111572e-44,20.0,0.1,-1.7516230804060213e-44,1.0208489,7.1417376e-31,939.403266784142,3046.9937,0.0026400089263916016
0.7177301979064943,0.01,7.141737557515112e-32,1.0208488702774048,7.290634717407014e-32,20.0,0.1,7.141737557515112e-32,1.0194789,-8.271938e-28,929.5350718018178,3018.272,0.002588510513305664
0.819678089618683,0.01,-8.264796707063661e-29,1.0194789171218872,-8.425785997149801e-29,20.0,0.1,-8.264796707063661e-29,1.016135,2.1186113e-29,919.732121464634,2990.4524,0.0027282238006591797
0.9212915873527528,0.01,-8.052935580986711e-29,1.0161349773406982,-8.182869514112034e-29,20.0,0.1,-8.052935580986711e-29,1.0109792,9.210416e-26,910.0130367370423,2963.509,0.0034732818603515625
1.0223895049095155,0.01,9.129886401022428e-27,1.010979175567627,9.230125026731743e-27,20.0,0.1,9.129886401022428e-27,1.0041825,-7.427031e-18,900.3945002584213,2937.42,0.003975391387939453
1.1228077507019045,0.01,-7.427031290049382e-19,1.0041824579238892,-7.458094535919421e-19,20.0,0.1,-7.427031290049382e-19,0.9959117,3.0876657e-09,890.8912180424,2912.1616,0.0038471221923828125
1.2223989224433902,0.01,3.087665671264533e-10,0.995911717414856,3.0750424214719553e-10,20.0,0.1,3.087665671264533e-10,0.9863248,1.0638125e-09,881.516005569638,2887.7073,0.0039637088775634766
1.3210314011573794,0.010000000030454412,4.151478153813587e-10,0.9863247871398926,4.0947058063761003e-10,20.0,0.1,4.151478153813587e-10,0.9755691,8.483013e-09,872.2799197913579,2864.0356,0.0041654109954833984
1.4185883140563966,0.01000000007095495,1.2634491556651557e-09,0.9755691289901733,1.2325819923156258e-09,20.0,0.1,1.2634491556651557e-09,0.9620604,0.037441105,863.1924006062718,2835.6428,0.004109621047973633
1.514794353246689,0.01000000019250639,0.0037441117284988993,0.9620536486502652,0.0036020531810135956,20.0,0.1,0.0037441117284988993,0.96647435,0.028709779,854.2773195068147,2801.0164,0.004766225814819336
1.6114411112543103,0.010361858143572232,0.0066150895847177146,0.9664532081703675,0.006393267806966398,20.0,0.1,0.0066150895847177146,0.9919512,0.0068866624,845.3678325033588,2776.9282,0.004690885543823242
1.7106340636210027,0.011018037981026022,0.0073037558296864865,0.9919247695614016,0.00724490514487685,20.0,0.1,0.0073037558296864865,0.97968894,0.017465858,836.2720603608627,2736.059,0.0039288997650146484
1.8086003448079133,0.011733572501763248,0.009050341608578528,0.9796488201906423,0.008866398558831787,20.0,0.1,0.009050341608578528,0.96846527,0.024550758,827.3370309428652,2714.1313,0.0044023990631103516
1.9054429054104314,0.012610054688096768,0.011505417438799704,0.9684011692029936,0.011142351359122178,20.0,0.1,0.011505417438799704,0.91890985,0.044917587,818.5515836297583,2681.809,0.00422215461730957
