x0,y0,r0,dx0,dy0,x1,y1,r1,dx1,dy1,x2,y2,r2,dx2,dy2
4.0,5.5,0.4,-0.9,-0.9,8.0,6.5,0.4,-0.8,-0.8,10.2,11.4,0.4,-0.93,-0.93
3.911,5.411,0.4,-0.89,-0.89,7.921,6.421,0.4,-0.79,-0.79,10.107999999999999,11.308,0.4,-0.92,-0.92
3.823,5.3229999999999995,0.4,-0.88,-0.88,7.843,6.343,0.4,-0.78,-0.78,10.017,11.217,0.4,-0.91,-0.91
3.7359999999999998,5.236,0.4,-0.87,-0.87,7.766,6.266,0.4,-0.77,-0.77,9.927,11.127,0.4,-0.9,-0.9
3.65,5.1499999999999995,0.4,-0.86,-0.86,7.69,6.19,0.4,-0.76,-0.76,9.838,11.038,0.4,-0.89,-0.89
3.565,5.0649999999999995,0.4,-0.85,-0.85,7.615,6.115,0.4,-0.75,-0.75,9.75,10.950000000000001,0.4,-0.88,-0.88
3.481,4.981,0.4,-0.84,-0.84,7.541,6.041,0.4,-0.74,-0.74,9.663,10.863000000000001,0.4,-0.87,-0.87
3.3979999999999997,4.898,0.4,-0.83,-0.83,7.468,5.968,0.4,-0.73,-0.73,9.577,10.777000000000001,0.4,-0.86,-0.86
3.316,4.816,0.4,-0.82,-0.82,7.396,5.896,0.4,-0.72,-0.72,9.491999999999999,10.692,0.4,-0.85,-0.85
3.235,4.734999999999999,0.4,-0.8099999999999999,-0.8099999999999999,7.325,5.825,0.4,-0.71,-0.71,9.408,10.608,0.4,-0.84,-0.84
3.155,4.654999999999999,0.4,-0.7999999999999999,-0.7999999999999999,7.255,5.755,0.4,-0.7,-0.7,9.325,10.525,0.4,-0.83,-0.83
3.0759999999999996,4.576,0.4,-0.7899999999999999,-0.7899999999999999,7.186,5.686,0.4,-0.69,-0.69,9.242999999999999,10.443,0.4,-0.82,-0.82
2.9979999999999998,4.497999999999999,0.4,-0.7799999999999999,-0.7799999999999999,7.118,5.618,0.4,-0.6799999999999999,-0.6799999999999999,9.161999999999999,10.362,0.4,-0.8099999999999999,-0.8099999999999999
2.921,4.420999999999999,0.4,-0.7699999999999999,-0.7699999999999999,7.051,5.551,0.4,-0.6699999999999999,-0.6699999999999999,9.081999999999999,10.282,0.4,-0.7999999999999999,-0.7999999999999999
2.8449999999999998,4.345,0.4,-0.7599999999999999,-0.7599999999999999,6.985,5.485,0.4,-0.6599999999999999,-0.6599999999999999,9.002999999999998,10.203,0.4,-0.7899999999999999,-0.7899999999999999
2.7699999999999996,4.27,0.4,-0.7499999999999999,-0.7499999999999999,6.92,5.42,0.4,-0.6499999999999999,-0.6499999999999999,8.924999999999999,10.125,0.4,-0.7799999999999999,-0.7799999999999999
2.6959999999999997,4.196,0.4,-0.7399999999999999,-0.7399999999999999,6.856,5.356,0.4,-0.6399999999999999,-0.6399999999999999,8.847999999999999,10.048,0.4,-0.7699999999999999,-0.7699999999999999
2.6229999999999998,4.122999999999999,0.4,-0.7299999999999999,-0.7299999999999999,6.793,5.293,0.4,-0.6299999999999999,-0.6299999999999999,8.771999999999998,9.972,0.4,-0.7599999999999999,-0.7599999999999999
2.5509999999999997,4.050999999999999,0.4,-0.7199999999999999,-0.7199999999999999,6.731,5.231,0.4,-0.6199999999999999,-0.6199999999999999,8.697,9.897,0.4,-0.7499999999999999,-0.7499999999999999
2.4799999999999995,3.979999999999999,0.4,-0.7099999999999999,-0.7099999999999999,6.67,5.17,0.4,-0.6099999999999999,-0.6099999999999999,8.623,9.823,0.4,-0.7399999999999999,-0.7399999999999999
2.4099999999999997,3.9099999999999993,0.4,-0.6999999999999998,-0.6999999999999998,6.61,5.11,0.4,-0.5999999999999999,-0.5999999999999999,8.549999999999999,9.75,0.4,-0.7299999999999999,-0.7299999999999999
2.3409999999999997,3.8409999999999993,0.4,-0.6899999999999998,-0.6899999999999998,6.551,5.051,0.4,-0.5899999999999999,-0.5899999999999999,8.478,9.678,0.4,-0.7199999999999999,-0.7199999999999999
2.2729999999999997,3.7729999999999992,0.4,-0.6799999999999998,-0.6799999999999998,6.493,4.993,0.4,-0.5799999999999998,-0.5799999999999998,8.407,9.607000000000001,0.4,-0.7099999999999999,-0.7099999999999999
2.2059999999999995,3.705999999999999,0.4,-0.6699999999999998,-0.6699999999999998,6.436,4.936,0.4,-0.5699999999999998,-0.5699999999999998,8.337,9.537,0.4,-0.6999999999999998,-0.6999999999999998
2.1399999999999997,3.6399999999999992,0.4,-0.6599999999999998,-0.6599999999999998,6.38,4.88,0.4,-0.5599999999999998,-0.5599999999999998,8.267999999999999,9.468,0.4,-0.6899999999999998,-0.6899999999999998
2.0749999999999997,3.5749999999999993,0.4,-0.6499999999999998,-0.6499999999999998,6.325,4.825,0.4,-0.5499999999999998,-0.5499999999999998,8.2,9.4,0.4,-0.6799999999999998,-0.6799999999999998
2.0109999999999997,3.5109999999999992,0.4,-0.6399999999999998,-0.6399999999999998,6.271,4.771,0.4,-0.5399999999999998,-0.5399999999999998,8.133,9.333,0.4,-0.6699999999999998,-0.6699999999999998
1.9479999999999997,3.447999999999999,0.4,-0.6299999999999998,-0.6299999999999998,6.218,4.718,0.4,-0.5299999999999998,-0.5299999999999998,8.066999999999998,9.267,0.4,-0.6599999999999998,-0.6599999999999998
1.8859999999999997,3.3859999999999992,0.4,-0.6199999999999998,-0.6199999999999998,6.166,4.666,0.4,-0.5199999999999998,-0.5199999999999998,8.001999999999999,9.202,0.4,-0.6499999999999998,-0.6499999999999998
1.8249999999999997,3.3249999999999993,0.4,-0.6099999999999998,-0.6099999999999998,6.115,4.615,0.4,-0.5099999999999998,-0.5099999999999998,7.937999999999999,9.138,0.4,-0.6399999999999998,-0.6399999999999998
1.7649999999999997,3.2649999999999992,0.4,-0.5999999999999998,-0.5999999999999998,6.065,4.565,0.4,-0.4999999999999998,-0.4999999999999998,7.874999999999999,9.075,0.4,-0.6299999999999998,-0.6299999999999998
1.7059999999999997,3.205999999999999,0.4,-0.5899999999999997,-0.5899999999999997,6.016,4.516,0.4,-0.48999999999999977,-0.48999999999999977,7.812999999999999,9.013,0.4,-0.6199999999999998,-0.6199999999999998
1.6479999999999997,3.1479999999999992,0.4,-0.5799999999999997,-0.5799999999999997,5.968,4.468,0.4,-0.47999999999999976,-0.47999999999999976,7.751999999999999,8.952,0.4,-0.6099999999999998,-0.6099999999999998
1.5909999999999997,3.0909999999999993,0.4,-0.5699999999999997,-0.5699999999999997,5.921,4.421,0.4,-0.46999999999999975,-0.46999999999999975,7.691999999999999,8.892,0.4,-0.5999999999999998,-0.5999999999999998
1.5349999999999997,3.0349999999999993,0.4,-0.5599999999999997,-0.5599999999999997,5.875,4.375,0.4,-0.45999999999999974,-0.45999999999999974,7.632999999999999,8.833,0.4,-0.5899999999999997,-0.5899999999999997
1.4799999999999998,2.979999999999999,0.4,-0.5499999999999997,-0.5499999999999997,5.83,4.33,0.4,-0.44999999999999973,-0.44999999999999973,7.574999999999999,8.775,0.4,-0.5799999999999997,-0.5799999999999997
1.4259999999999997,2.9259999999999993,0.4,-0.5399999999999997,-0.5399999999999997,5.7860000000000005,4.2860000000000005,0.4,-0.4399999999999997,-0.4399999999999997,7.517999999999999,8.718,0.4,-0.5699999999999997,-0.5699999999999997
1.3729999999999998,2.8729999999999993,0.4,-0.5299999999999997,-0.5299999999999997,5.743,4.243,0.4,-0.4299999999999997,-0.4299999999999997,7.461999999999999,8.662,0.4,-0.5599999999999997,-0.5599999999999997
1.3209999999999997,2.8209999999999993,0.4,-0.5199999999999997,-0.5199999999999997,5.7010000000000005,4.2010000000000005,0.4,-0.4199999999999997,-0.4199999999999997,7.406999999999999,8.607000000000001,0.4,-0.5499999999999997,-0.5499999999999997
1.2699999999999998,2.769999999999999,0.4,-0.5099999999999997,-0.5099999999999997,5.66,4.16,0.4,-0.4099999999999997,-0.4099999999999997,7.352999999999999,8.553,0.4,-0.5399999999999997,-0.5399999999999997
1.2199999999999998,2.7199999999999993,0.4,-0.49999999999999967,-0.49999999999999967,5.62,4.12,0.4,-0.3999999999999997,-0.3999999999999997,7.299999999999999,8.5,0.4,-0.5299999999999997,-0.5299999999999997
1.1709999999999998,2.6709999999999994,0.4,-0.48999999999999966,-0.48999999999999966,5.581,4.081,0.4,-0.3899999999999997,-0.3899999999999997,7.247999999999999,8.448,0.4,-0.5199999999999997,-0.5199999999999997
1.1229999999999998,2.6229999999999993,0.4,-0.47999999999999965,-0.47999999999999965,5.543,4.043,0.4,-0.37999999999999967,-0.37999999999999967,7.196999999999999,8.397,0.4,-0.5099999999999997,-0.5099999999999997
1.0759999999999998,2.575999999999999,0.4,-0.46999999999999964,-0.46999999999999964,5.506,4.006,0.4,-0.36999999999999966,-0.36999999999999966,7.146999999999999,8.347,0.4,-0.49999999999999967,-0.49999999999999967
1.0299999999999998,2.5299999999999994,0.4,-0.45999999999999963,-0.45999999999999963,5.470000000000001,3.97,0.4,-0.35999999999999965,-0.35999999999999965,7.097999999999999,8.298,0.4,-0.48999999999999966,-0.48999999999999966
0.9849999999999999,2.4849999999999994,0.4,-0.4499999999999996,-0.4499999999999996,5.4350000000000005,3.935,0.4,-0.34999999999999964,-0.34999999999999964,7.049999999999999,8.25,0.4,-0.47999999999999965,-0.47999999999999965
0.941,2.4409999999999994,0.4,-0.4399999999999996,-0.4399999999999996,5.401000000000001,3.9010000000000002,0.4,-0.33999999999999964,-0.33999999999999964,7.002999999999999,8.203,0.4,-0.46999999999999964,-0.46999999999999964
0.898,2.3979999999999992,0.4,-0.4299999999999996,-0.4299999999999996,5.368,3.8680000000000003,0.4,-0.3299999999999996,-0.3299999999999996,6.956999999999999,8.157,0.4,-0.45999999999999963,-0.45999999999999963
0.8560000000000001,2.3559999999999994,0.4,-0.4199999999999996,-0.4199999999999996,5.336,3.8360000000000003,0.4,-0.3199999999999996,-0.3199999999999996,6.911999999999999,8.112,0.4,-0.4499999999999996,-0.4499999999999996
0.8150000000000002,2.3149999999999995,0.4,-0.4099999999999996,-0.4099999999999996,5.305000000000001,3.805,0.4,-0.3099999999999996,-0.3099999999999996,6.867999999999999,8.068,0.4,-0.4399999999999996,-0.4399999999999996
0.7750000000000002,2.2749999999999995,0.4,-0.3999999999999996,-0.3999999999999996,5.275,3.7750000000000004,0.4,-0.2999999999999996,-0.2999999999999996,6.824999999999999,8.025,0.4,-0.4299999999999996,-0.4299999999999996
0.7360000000000003,2.2359999999999993,0.4,-0.38999999999999957,-0.38999999999999957,5.246,3.7460000000000004,0.4,-0.2899999999999996,-0.2899999999999996,6.7829999999999995,7.9830000000000005,0.4,-0.4199999999999996,-0.4199999999999996
0.6980000000000004,2.1979999999999995,0.4,-0.37999999999999956,-0.37999999999999956,5.218000000000001,3.7180000000000004,0.4,-0.2799999999999996,-0.2799999999999996,6.741999999999999,7.942,0.4,-0.4099999999999996,-0.4099999999999996
0.6610000000000005,2.1609999999999996,0.4,-0.36999999999999955,-0.36999999999999955,5.191000000000001,3.6910000000000003,0.4,-0.2699999999999996,-0.2699999999999996,6.701999999999999,7.902,0.4,-0.3999999999999996,-0.3999999999999996
