x0,y0,r0,dx0,dy0
10.0,10.0,0.4,0.02,-1.0
10.002,9.9,0.4,0.02,-1.0
10.004000000000001,9.8,0.4,0.02,-1.0
10.006000000000002,9.700000000000001,0.4,0.02,-1.0
10.008000000000003,9.600000000000001,0.4,0.02,-1.0
10.010000000000003,9.500000000000002,0.4,0.02,-1.0
10.012000000000004,9.400000000000002,0.4,0.02,-1.0
10.014000000000005,9.300000000000002,0.4,0.02,-1.0
10.016000000000005,9.200000000000003,0.4,0.02,-1.0
10.018000000000006,9.100000000000003,0.4,0.02,-1.0
10.020000000000007,9.000000000000004,0.4,0.02,-1.0
10.022000000000007,8.900000000000004,0.4,0.02,-1.0
10.024000000000008,8.800000000000004,0.4,0.02,-1.0
10.026000000000009,8.700000000000005,0.4,0.02,-1.0
10.02800000000001,8.600000000000005,0.4,0.02,-1.0
10.03000000000001,8.500000000000005,0.4,0.02,-1.0
10.03200000000001,8.400000000000006,0.4,0.02,-1.0
10.034000000000011,8.300000000000006,0.4,0.02,-1.0
10.036000000000012,8.200000000000006,0.4,0.02,-1.0
10.038000000000013,8.100000000000007,0.4,0.02,-1.0
10.040000000000013,8.000000000000007,0.4,0.02,-1.0
10.042000000000014,7.9000000000000075,0.4,0.02,-1.0
10.044000000000015,7.800000000000008,0.4,0.02,-1.0
10.046000000000015,7.700000000000008,0.4,0.02,-1.0
10.048000000000016,7.6000000000000085,0.4,0.02,-1.0
10.050000000000017,7.500000000000009,0.4,0.02,-1.0
10.052000000000017,7.400000000000009,0.4,0.02,-1.0
10.054000000000018,7.30000000000001,0.4,0.02,-1.0
10.056000000000019,7.20000000000001,0.4,0.02,-1.0
10.05800000000002,7.10000000000001,0.4,0.02,-1.0
10.06000000000002,7.000000000000011,0.4,0.02,-1.0
10.06200000000002,6.900000000000011,0.4,0.02,-1.0
10.064000000000021,6.800000000000011,0.4,0.02,-1.0
10.066000000000022,6.700000000000012,0.4,0.02,-1.0
10.068000000000023,6.600000000000012,0.4,0.02,-1.0
10.070000000000023,6.500000000000012,0.4,0.02,-1.0
10.072000000000024,6.400000000000013,0.4,0.02,-1.0
10.074000000000025,6.300000000000013,0.4,0.02,-1.0
10.076000000000025,6.2000000000000135,0.4,0.02,-1.0
10.078000000000026,6.100000000000014,0.4,0.02,-1.0
10.080000000000027,6.000000000000014,0.4,0.02,-1.0
10.082000000000027,5.900000000000015,0.4,0.02,-1.0
10.084000000000028,5.800000000000015,0.4,0.02,-1.0
10.086000000000029,5.700000000000015,0.4,0.02,-1.0
10.08800000000003,5.600000000000016,0.4,0.02,-1.0
10.09000000000003,5.500000000000016,0.4,0.02,-1.0
10.09200000000003,5.400000000000016,0.4,0.02,-1.0
10.094000000000031,5.300000000000017,0.4,0.02,-1.0
10.096000000000032,5.200000000000017,0.4,0.02,-1.0
10.098000000000033,5.100000000000017,0.4,0.02,-1.0
10.100000000000033,5.000000000000018,0.4,0.02,-1.0
10.102000000000034,4.900000000000018,0.4,0.02,-1.0
10.104000000000035,4.8000000000000185,0.4,0.02,-1.0
10.106000000000035,4.700000000000019,0.4,0.02,-1.0
10.108000000000036,4.600000000000019,0.4,0.02,-1.0
10.110000000000037,4.5000000000000195,0.4,0.02,-1.0
10.112000000000037,4.40000000000002,0.4,0.02,-1.0
10.114000000000038,4.30000000000002,0.4,0.02,-1.0
10.116000000000039,4.200000000000021,0.4,0.02,-1.0
10.11800000000004,4.100000000000021,0.4,0.02,-1.0
10.12000000000004,4.000000000000021,0.4,0.02,-1.0
10.12200000000004,3.9000000000000212,0.4,0.02,-1.0
10.124000000000041,3.800000000000021,0.4,0.02,-1.0
10.126000000000042,3.700000000000021,0.4,0.02,-1.0
10.128000000000043,3.600000000000021,0.4,0.02,-1.0
10.130000000000043,3.500000000000021,0.4,0.02,-1.0
10.132000000000044,3.400000000000021,0.4,0.02,-1.0
10.134000000000045,3.3000000000000207,0.4,0.02,-1.0
10.136000000000045,3.2000000000000206,0.4,0.02,-1.0
10.138000000000046,3.1000000000000205,0.4,0.02,-1.0
10.140000000000047,3.0000000000000204,0.4,0.02,-1.0
10.142000000000047,2.9000000000000203,0.4,0.02,-1.0
10.144000000000048,2.8000000000000203,0.4,0.02,-1.0
10.146000000000049,2.70000000000002,0.4,0.02,-1.0
10.14800000000005,2.60000000000002,0.4,0.02,-1.0
10.15000000000005,2.50000000000002,0.4,0.02,-1.0
10.15200000000005,2.40000000000002,0.4,0.02,-1.0
10.154000000000051,2.30000000000002,0.4,0.02,-1.0
10.156000000000052,2.2000000000000197,0.4,0.02,-1.0
10.158000000000053,2.1000000000000196,0.4,0.02,-1.0
10.160000000000053,2.0000000000000195,0.4,0.02,-1.0
10.162000000000054,1.9000000000000195,0.4,0.02,-1.0
10.164000000000055,1.8000000000000194,0.4,0.02,-1.0
10.166000000000055,1.7000000000000193,0.4,0.02,-1.0
10.168000000000056,1.6000000000000192,0.4,0.02,-1.0
10.170000000000057,1.500000000000019,0.4,0.02,-1.0
10.172000000000057,1.400000000000019,0.4,0.02,-1.0
10.174000000000058,1.300000000000019,0.4,0.02,-1.0
10.176000000000059,1.2000000000000188,0.4,0.02,-1.0
10.17800000000006,1.1000000000000187,0.4,0.02,-1.0
10.18000000000006,1.0000000000000187,0.4,0.02,-1.0
10.18200000000006,0.9000000000000187,0.4,0.02,-1.0
10.184000000000061,0.8000000000000187,0.4,0.02,-1.0
10.186000000000062,0.7000000000000187,0.4,0.02,-1.0
10.188000000000063,0.6000000000000187,0.4,0.02,-1.0
10.190000000000063,0.5000000000000188,0.4,0.02,-1.0
10.192000000000064,0.4000000000000188,0.4,0.02,-1.0
10.194000000000065,0.3000000000000188,0.4,0.02,-1.0
10.196000000000065,0.2000000000000188,0.4,0.02,-1.0
10.198000000000066,0.1000000000000188,0.4,0.02,-1.0
10.200000000000067,1.8790524691780774e-14,0.4,0.02,-1.0
10.202000000000067,-0.09999999999998122,0.4,0.02,-1.0
10.204000000000068,-0.19999999999998122,0.4,0.02,-1.0
10.206000000000069,-0.2999999999999812,0.4,0.02,-1.0
10.20800000000007,-0.39999999999998126,0.4,0.02,-1.0
10.21000000000007,-0.49999999999998124,0.4,0.02,-1.0
10.21200000000007,-0.5999999999999812,0.4,0.02,-1.0
10.214000000000071,-0.6999999999999812,0.4,0.02,-1.0
10.216000000000072,-0.7999999999999812,0.4,0.02,-1.0
10.218000000000073,-0.8999999999999811,0.4,0.02,-1.0
10.220000000000073,-0.9999999999999811,0.4,0.02,-1.0
10.222000000000074,-1.0999999999999812,0.4,0.02,-1.0
10.224000000000075,-1.1999999999999813,0.4,0.02,-1.0
10.226000000000075,-1.2999999999999814,0.4,0.02,-1.0
10.228000000000076,-1.3999999999999815,0.4,0.02,-1.0
10.230000000000077,-1.4999999999999816,0.4,0.02,-1.0
