x0,y0,r0,dx0,dy0
10.0,-0.6,0.4,-0.5,0.0
9.949,-0.6,0.4,-0.51,0.0
9.897,-0.6,0.4,-0.52,0.0
9.844,-0.6,0.4,-0.53,0.0
9.79,-0.6,0.4,-0.54,0.0
9.735,-0.6,0.4,-0.55,0.0
9.679,-0.6,0.4,-0.56,0.0
9.622,-0.6,0.4,-0.5700000000000001,0.0
9.564,-0.6,0.4,-0.5800000000000001,0.0
9.505,-0.6,0.4,-0.5900000000000001,0.0
9.445,-0.6,0.4,-0.6000000000000001,0.0
9.384,-0.6,0.4,-0.6100000000000001,0.0
9.322000000000001,-0.6,0.4,-0.6200000000000001,0.0
9.259,-0.6,0.4,-0.6300000000000001,0.0
9.195,-0.6,0.4,-0.6400000000000001,0.0
9.13,-0.6,0.4,-0.6500000000000001,0.0
9.064,-0.6,0.4,-0.6600000000000001,0.0
8.997,-0.6,0.4,-0.6700000000000002,0.0
8.929,-0.6,0.4,-0.6800000000000002,0.0
8.86,-0.6,0.4,-0.6900000000000002,0.0
8.79,-0.6,0.4,-0.7000000000000002,0.0
8.719,-0.6,0.4,-0.7100000000000002,0.0
8.647,-0.6,0.4,-0.7200000000000002,0.0
8.574,-0.6,0.4,-0.7300000000000002,0.0
8.5,-0.6,0.4,-0.7400000000000002,0.0
8.425,-0.6,0.4,-0.7500000000000002,0.0
8.349,-0.6,0.4,-0.7600000000000002,0.0
8.272,-0.6,0.4,-0.7700000000000002,0.0
8.194,-0.6,0.4,-0.7800000000000002,0.0
8.115,-0.6,0.4,-0.7900000000000003,0.0
8.035,-0.6,0.4,-0.8000000000000003,0.0
7.954,-0.6,0.4,-0.8100000000000003,0.0
7.872,-0.6,0.4,-0.8200000000000003,0.0
7.789,-0.6,0.4,-0.8300000000000003,0.0
7.705,-0.6,0.4,-0.8400000000000003,0.0
7.62,-0.6,0.4,-0.8500000000000003,0.0
7.534,-0.6,0.4,-0.8600000000000003,0.0
7.447,-0.6,0.4,-0.8700000000000003,0.0
7.359,-0.6,0.4,-0.8800000000000003,0.0
7.27,-0.6,0.4,-0.8900000000000003,0.0
7.18,-0.6,0.4,-0.9000000000000004,0.0
7.0889999999999995,-0.6,0.4,-0.9100000000000004,0.0
6.997,-0.6,0.4,-0.9200000000000004,0.0
6.904,-0.6,0.4,-0.9300000000000004,0.0
6.81,-0.6,0.4,-0.9400000000000004,0.0
6.715,-0.6,0.4,-0.9500000000000004,0.0
6.619,-0.6,0.4,-0.9600000000000004,0.0
6.521999999999999,-0.6,0.4,-0.9700000000000004,0.0
6.4239999999999995,-0.6,0.4,-0.9800000000000004,0.0
6.324999999999999,-0.6,0.4,-0.9900000000000004,0.0
6.225,-0.6,0.4,-1.0000000000000004,0.0
6.124,-0.6,0.4,-1.0100000000000005,0.0
6.021999999999999,-0.6,0.4,-1.0200000000000005,0.0
5.919,-0.6,0.4,-1.0300000000000005,0.0
5.8149999999999995,-0.6,0.4,-1.0400000000000005,0.0
5.709999999999999,-0.6,0.4,-1.0500000000000005,0.0
5.603999999999999,-0.6,0.4,-1.0600000000000005,0.0
5.496999999999999,-0.6,0.4,-1.0700000000000005,0.0
5.388999999999999,-0.6,0.4,-1.0800000000000005,0.0
5.279999999999999,-0.6,0.4,-1.0900000000000005,0.0
5.169999999999999,-0.6,0.4,-1.1000000000000005,0.0
5.058999999999999,-0.6,0.4,-1.1100000000000005,0.0
4.946999999999999,-0.6,0.4,-1.1200000000000006,0.0
4.833999999999999,-0.6,0.4,-1.1300000000000006,0.0
4.719999999999999,-0.6,0.4,-1.1400000000000006,0.0
4.604999999999999,-0.6,0.4,-1.1500000000000006,0.0
4.488999999999999,-0.6,0.4,-1.1600000000000006,0.0
4.371999999999999,-0.6,0.4,-1.1700000000000006,0.0
4.253999999999999,-0.6,0.4,-1.1800000000000006,0.0
4.134999999999999,-0.6,0.4,-1.1900000000000006,0.0
4.014999999999999,-0.6,0.4,-1.2,0.0
3.8949999999999987,-0.6,0.4,-1.2,0.0
3.7749999999999986,-0.6,0.4,-1.2,0.0
3.6549999999999985,-0.6,0.4,-1.2,0.0
3.5349999999999984,-0.6,0.4,-1.2,0.0
3.4149999999999983,-0.6,0.4,-1.2,0.0
3.294999999999998,-0.6,0.4,-1.2,0.0
3.174999999999998,-0.6,0.4,-1.2,0.0
3.054999999999998,-0.6,0.4,-1.2,0.0
2.934999999999998,-0.6,0.4,-1.2,0.0
2.8149999999999977,-0.6,0.4,-1.2,0.0
2.6949999999999976,-0.6,0.4,-1.2,0.0
2.5749999999999975,-0.6,0.4,-1.2,0.0
2.4549999999999974,-0.6,0.4,-1.2,0.0
2.3349999999999973,-0.6,0.4,-1.2,0.0
2.214999999999997,-0.6,0.4,-1.2,0.0
