x0,y0,r0,dx0,dy0,x1,y1,r1,dx1,dy1,x2,y2,r2,dx2,dy2
4.0,5.5,0.4,-0.5,-0.5,8.0,6.5,0.4,-0.2,-0.2,10.1,11.5,0.4,-0.05,-0.05
3.949,5.449,0.4,-0.51,-0.51,7.979,6.479,0.4,-0.21000000000000002,-0.21000000000000002,10.094,11.494,0.4,-0.060000000000000005,-0.060000000000000005
3.897,5.397,0.4,-0.52,-0.52,7.957,6.457,0.4,-0.22000000000000003,-0.22000000000000003,10.087,11.487,0.4,-0.07,-0.07
3.844,5.344,0.4,-0.53,-0.53,7.934,6.434,0.4,-0.23000000000000004,-0.23000000000000004,10.079,11.479000000000001,0.4,-0.08,-0.08
3.79,5.29,0.4,-0.54,-0.54,7.91,6.41,0.4,-0.24000000000000005,-0.24000000000000005,10.07,11.47,0.4,-0.09,-0.09
3.735,5.235,0.4,-0.55,-0.55,7.885,6.385,0.4,-0.25000000000000006,-0.25000000000000006,10.06,11.46,0.4,-0.09999999999999999,-0.09999999999999999
3.679,5.179,0.4,-0.56,-0.56,7.859,6.359,0.4,-0.26000000000000006,-0.26000000000000006,10.049000000000001,11.449000000000002,0.4,-0.10999999999999999,-0.10999999999999999
3.622,5.122,0.4,-0.5700000000000001,-0.5700000000000001,7.832,6.332,0.4,-0.2700000000000001,-0.2700000000000001,10.037,11.437000000000001,0.4,-0.11999999999999998,-0.11999999999999998
3.564,5.064,0.4,-0.5800000000000001,-0.5800000000000001,7.804,6.304,0.4,-0.2800000000000001,-0.2800000000000001,10.024000000000001,11.424000000000001,0.4,-0.12999999999999998,-0.12999999999999998
3.505,5.005,0.4,-0.5900000000000001,-0.5900000000000001,7.775,6.275,0.4,-0.2900000000000001,-0.2900000000000001,10.010000000000002,11.410000000000002,0.4,-0.13999999999999999,-0.13999999999999999
3.445,4.945,0.4,-0.6000000000000001,-0.6000000000000001,7.745,6.245,0.4,-0.3000000000000001,-0.3000000000000001,9.995000000000001,11.395000000000001,0.4,-0.15,-0.15
3.384,4.884,0.4,-0.6100000000000001,-0.6100000000000001,7.714,6.214,0.4,-0.3100000000000001,-0.3100000000000001,9.979000000000001,11.379000000000001,0.4,-0.16,-0.16
3.322,4.822,0.4,-0.6200000000000001,-0.6200000000000001,7.682,6.182,0.4,-0.3200000000000001,-0.3200000000000001,9.962000000000002,11.362000000000002,0.4,-0.17,-0.17
3.259,4.759,0.4,-0.6300000000000001,-0.6300000000000001,7.649,6.149,0.4,-0.3300000000000001,-0.3300000000000001,9.944,11.344000000000001,0.4,-0.18000000000000002,-0.18000000000000002
3.195,4.695,0.4,-0.6400000000000001,-0.6400000000000001,7.615,6.115,0.4,-0.34000000000000014,-0.34000000000000014,9.925,11.325000000000001,0.4,-0.19000000000000003,-0.19000000000000003
3.13,4.63,0.4,-0.6500000000000001,-0.6500000000000001,7.58,6.08,0.4,-0.35000000000000014,-0.35000000000000014,9.905000000000001,11.305000000000001,0.4,-0.20000000000000004,-0.20000000000000004
