x,y,theta,dx,dy,x_d,y_d,theta_d,v,w,state_cost,min_Traj_cost,t_mppi
0.01,0.01,0.0,0.0,0.0,20.0,0.1,0.0,1.0,0.0,999.0204999999999,3233.7483,0.0606694221496582
0.11,0.01,0.0,1.0,0.0,20.0,0.1,0.0,1.0,0.0,989.0505,3198.7175,0.0024919509887695312
0.21000000000000002,0.01,0.0,1.0,0.0,20.0,0.1,0.0,1.0066173,0.0,979.1305,3165.8184,0.0023169517517089844
0.31066173076629644,0.01,0.0,1.0066173076629639,0.0,20.0,0.1,0.0,1.0124525,0.0,969.1953537007772,3133.5154,0.0023031234741210938
0.41190697908401497,0.01,0.0,1.012452483177185,0.0,20.0,0.1,0.0,1.0172658,0.0,959.2537204901437,3102.167,0.0023393630981445312
0.5136335587501527,0.01,0.0,1.017265796661377,0.0,20.0,0.1,0.0,1.0201175,0.0,949.3164427066705,3071.7417,0.002325296401977539
0.6156453108787538,0.01,0.0,1.0201175212860107,0.0,20.0,0.1,0.0,1.0208489,0.0,939.403266784142,3042.2534,0.002503633499145508
0.7177301979064943,0.01,0.0,1.0208488702774048,0.0,20.0,0.1,0.0,1.0194789,1.8215692e-33,929.5350718018178,3013.6858,0.0023772716522216797
0.819678089618683,0.01,1.8215691885792487e-34,1.0194789171218872,1.8570513838353671e-34,20.0,0.1,1.8215691885792487e-34,1.016135,2.1736533e-33,919.732121464634,2986.0193,0.003430604934692383
0.9212915873527528,0.01,3.995222445116789e-34,1.0161349773406982,4.059685268739797e-34,20.0,0.1,3.995222445116789e-34,1.0109792,1.9723925e-33,910.0130367370423,2959.23,0.0030562877655029297
1.0223895049095155,0.01,5.9676149057462295e-34,1.010979175567627,6.033134397516405e-34,20.0,0.1,5.9676149057462295e-34,1.0041825,3.000321e-24,900.3945002584213,2933.298,0.002502918243408203
1.1228077507019045,0.01,3.0003210323728707e-25,1.0041824579238892,3.01286974884893e-25,20.0,0.1,3.0003210323728707e-25,0.9959117,-1.438993e-09,890.8912180424,2908.1995,0.0027811527252197266
1.2223989224433902,0.01,-1.4389930358404939e-10,0.995911717414856,-1.4331100256719236e-10,20.0,0.1,-1.4389930358404939e-10,0.98632485,-7.5799056e-10,881.516005569638,2883.9077,0.0023849010467529297
1.321031407117844,0.009999999985806854,-2.1969835950486045e-10,0.9863248467445374,-2.1669395076865776e-10,20.0,0.1,-2.1969835950486045e-10,1.005723,-0.009328688,872.2799192347014,2858.757,0.0023834705352783203
1.4216037070751193,0.009999999963711283,-0.0009328689760522147,1.0057225619603178,-0.000938207648725238,20.0,0.1,-0.0009328689760522147,0.9962618,-0.0056090793,862.9122720424288,2817.8877,0.0024924278259277344
1.5212298412749168,0.009907061806952635,-0.0014937769024626515,0.9962606639797913,-0.0014881922755875339,20.0,0.1,-0.0014937769024626515,0.9834819,-0.010248218,853.6826582912523,2795.2324,0.002548694610595703
1.619577919949635,0.009760151609356437,-0.0025185986756340764,0.983478764724697,-0.002476993551822246,20.0,0.1,-0.0025185986756340764,1.0032715,-0.034455504,844.6201476776015,2762.9536,0.0030939579010009766
1.7199047477985536,0.009507468059319527,-0.005964149102474859,1.003253616864094,-0.0059836251067344045,20.0,0.1,-0.005964149102474859,0.9784389,-0.047899492,835.4251783197371,2726.7434,0.0026993751525878906
1.8177468989797538,0.008923915961959841,-0.01075409831097286,0.9783823358288147,-0.010522025454642361,20.0,0.1,-0.01075409831097286,0.9977479,-0.04329948,826.5065567066104,2697.0889,0.002773761749267578
1.9175159193368643,0.007850948745219407,-0.015084046438242606,0.9976343922341417,-0.015049504915038524,20.0,0.1,-0.015084046438242606,0.9844098,-0.057714142,817.4618049377073,2668.2844,0.0029714107513427734
2.015945701398216,0.006366116726145609,-0.020855460628773383,0.9841957322317164,-0.020528831770961393,20.0,0.1,-0.020855460628773383,0.9842009,-0.033263285,808.5874407978856,2643.0488,0.002614259719848633
2.114344387736595,0.004313669217819497,-0.02418178910007637,0.9839131487266923,-0.02379741902052204,20.0,0.1,-0.02418178910007637,0.96890277,-0.0073771095,799.76458138597,2609.8303,0.002698659896850586
